GEO.id,GEO.id2,GEO.display-label,HC03_EST_VC01,HC06_EST_VC01
Id,Id2,Geography,Self-employed in own incorporated business workers; Estimate; Civilian employed population 16 years and over,Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Civilian employed population 16 years and over
0100000US,,United States,3.4,6.1
0400000US01,1,Alabama,2.6,5.5
0400000US02,2,Alaska,2.8,6.1
0400000US04,4,Arizona,3.7,6
0400000US05,5,Arkansas,3.1,6.2
0400000US06,6,California,3.3,8.4
0400000US08,8,Colorado,5,6.6
0400000US09,9,Connecticut,3.5,6.6
0400000US10,10,Delaware,3.3,3.7
0400000US11,11,District of Columbia,2.4,4.4
0400000US12,12,Florida,5.8,5.8
0400000US13,13,Georgia,4.1,5.7
0400000US15,15,Hawaii,3.7,7.2
0400000US16,16,Idaho,4.5,7.7
0400000US17,17,Illinois,3.3,4.9
0400000US18,18,Indiana,3,4.7
0400000US19,19,Iowa,3.1,6.5
0400000US20,20,Kansas,3.3,6.2
0400000US21,21,Kentucky,3,5.6
0400000US22,22,Louisiana,3.5,5.8
0400000US23,23,Maine,3.5,8.5
0400000US24,24,Maryland,3,4.7
0400000US25,25,Massachusetts,2.8,6
0400000US26,26,Michigan,3.3,5.4
0400000US27,27,Minnesota,3.9,5.6
0400000US28,28,Mississippi,2.9,5.4
0400000US29,29,Missouri,2.9,5.7
0400000US30,30,Montana,5.4,8.8
0400000US31,31,Nebraska,3.5,6.7
0400000US32,32,Nevada,3,5.2
0400000US33,33,New Hampshire,3.3,7
0400000US34,34,New Jersey,3.8,4.6
0400000US35,35,New Mexico,2.8,7.2
0400000US36,36,New York,3.6,6
0400000US37,37,North Carolina,3.4,5.8
0400000US38,38,North Dakota,3.2,8.2
0400000US39,39,Ohio,2.6,4.9
0400000US40,40,Oklahoma,3.1,6.4
0400000US41,41,Oregon,4.2,7.8
0400000US42,42,Pennsylvania,2.8,5.3
0400000US44,44,Rhode Island,3.1,5
0400000US45,45,South Carolina,3.2,5.3
0400000US46,46,South Dakota,3.8,8.8
0400000US47,47,Tennessee,2.2,7
0400000US48,48,Texas,2.7,6.7
0400000US49,49,Utah,3.9,4.9
0400000US50,50,Vermont,4.5,9.6
0400000US51,51,Virginia,3.1,5
0400000US53,53,Washington,3.7,6.1
0400000US54,54,West Virginia,2.3,4.6
0400000US55,55,Wisconsin,2.9,5.2
0400000US56,56,Wyoming,3.7,6.6
0400000US72,72,Puerto Rico,2.4,8.8
