Series,Category,Description,Units,Source,Type of Data,Notes
Educational Attainment,Education,Education attainment for individuals and as a percentage of total population that is 25 years or older by state,"Individuals, % of total","US Census Bureau, 2013 ACS",Cross-Section for 2013,
PostSec Degree Holders,Education,"Post Secondary Degree holders for individuals 25-44 years old and as a percentage of total population, by state for 2000-2011","Individuals, % of total","Census Bureau, 2000 and 2010 Decenniel Censuses, Population Estimates Program (various years), ACS (various years)",Time series 2000-2011,
SE Grad Students,Education,Science and engineering graduate students per 1000 individuals 25-34 years old by state for 1990-2011,per 1000 individuals 25-34,"NSF, NCSES, Survey of Graduate Students and Postdoctorates in Science and Engineering, Census Bureau, 2000 and 2010 Decenniel Censuses and Population Estimates Program",Time series 1990-2011,"S&E includes students pursuing degrees in physical, computer, agricultural, biological, earth, atmospheric, ocean, and social sciences, psychology, mathematics and engineering"
Post-Docs by State,Education,Postdoctorate degree holders in S&E by state,per 1000 individuals 25-34 (using population data rom SE Grad Students sheet) ,NSF,Time series 1990-2011,
4th Grade Math Scores,Education,"Average mathematics scale score sorted by all students, grade 4 public schools by state",Scaled Score,"US Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), Mathematics Assessment",Time series of odd years from 2003-2013,
4th Grade Reading Scores,Education,"Average reading scale score sorted by all students, grade 4 public schools by state",Scaled Score,"US Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), Reading Assessment",Time series of odd years from 2003-2013,
8th Grade Math Scores,Education,"Average mathematics scale score sorted by all students, grade 8 public schools by state",Scaled Score,"US Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), Mathematics Assessment",Time series of odd years from 2003-2013,
8th Grade Reading Scores,Education,"Average reading scale score sorted by all students, grade 8 public schools by state",Scaled Score,"US Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), Mathematics Assessment",Time series of odd years from 2003-2013,
S&E Occup % of All Occup,Entrepreneurship,Individuals in science and engineering occupations as a percentage of all occupations by state 2003-2012,individuals as % of all occupations,"BLS, Occupational Employment Statistics Survey",Time series 2003-2012,
Kauffman Index,Entrepreneurship,Kauffman Index of Entrepreneurial Activity by state,"percentages of individuals ages 20-64, as calculated","Fairlie, Robert W. 2014. ""The Kauffman Index of Entrepreneurial Activity: 1996-2013,"" Kansas City: The Ewing Marion Kauffman Foundation",Time series 1996-2013,
Venture Capital Investment,Entrepreneurship,Venture capital disbursed per $1000 of GDP by state,per $1000 of GDP,"PricewaterhouseCoopers, National Venture Capital Association, BEA",Time series 1998-2012,
Startup Employment Share,Entrepreneurship,% of Private Sector jobs at Startup firms,% of Private Sector Jobs,"US Census Bureau, Business Dynamics Statistics",Time series 1982-2012,
Young Firm Employment Share,Entrepreneurship,% of Private Sector jobs at Young firms (Age 1-5),% of Private Sector Jobs,"US Census Bureau, Business Dynamics Statistics",Time series 1982-2012,
Mature Firm Employment Share,Entrepreneurship,% of Private Sector jobs at Young firms (Age 6+),% of Private Sector Jobs,"US Census Bureau, Business Dynamics Statistics",Time series 1982-2012,
1-Year Startup Survival Rate,Entrepreneurship,% of startup establishments that are still operating after one year,% of Startup establishments,"US Census Bureau, Business Dynamics Statistics",Time series 1982-2012,
5-Year Startup Survival Rate,Entrepreneurship,% of startup establishments that are still operating after five years,% of Startup establishments,"US Census Bureau, Business Dynamics Statistics",Time series 1982-2012,
Patents per SE Ocup,Research and Development,Patents awarded per 1000 individuals in science and engineering by state,per 1000 individuals in SE occupations,"US Patent and Trademark Office, Electronic Information Division/Patent Technology Monitoring Branch, BLS",Time series 2003-2012,
SBIR,Research and Development,Average annual federal Small Business Innovation Research funding per $1M of GDP by state,per $1M of GDP,"Small Business Administration, Small Business Innovation Research program statistics, BEA",Time series 1988-90 to 2010-12,
Acaddemic SE R&D,Research and Development,Academic science and engineering R&D per $1000 of GDP by state,per $1000 of GDP,"NSF,NCSES, BEA",Time series 1998-2012,
Federal R&D,Research and Development,Federal R&D obligations per employed worker by state,$ per employed worker,"NSF, NCSES, BLS ",Time series 1990-2011,
Business R&D,Research and Development,Business-performed domestic R&D as a percentage of private-industry output by state,$ per private-industry output (%),"NSF, NCSES, BEA",Time series 1998-2011,
GDP by State,Economic Prosperity,GDP by state,$M of current dollars,BEA,Time Series 1997-2013,
Per Capita Personal Income,Economic Prosperity,Per Capita Personal Income,$,BEA,Time Series 1950-2013,
Average Earnings Per Job,Economic Prosperity,Average Earnings per job,$,BEA,Time Series 1969-2013,
Regional Price Parities,Economic Prosperity,Regional price parities for all items,index,BEA,Time Series 2008-2012,
Non-Farm Jobs By State,Economic Prosperity,,,BLS,Time Series 1939-2014,
Unemployment Rate by State,Economic Prosperity,Unemployment Rate,percentage of population,"BLS, Local Area Unemployment Statistics",Time Series 1976-2014,
State and Local Tax Burden,Economic Prosperity,State-Local tax Burdens Rate,$ (real),BLS,Time Series 1977-2011,
LF Part Empl Rate By Age,Economic Prosperity,Labor force participation rate and emloyment rate,percentage of population of civilian labor force,BLS,Time Series 1976-2013,
