"TABLE 44.  Postdoctoral appointees in science in all institutions, by region, state, institution, citizenship, ethnicity and race: 2011",,,,,,,,,,,,,,
,,,U.S. citizens and permanent residentsa,,,,,,,,,,,
,,,,,Not Hispanic or Latino,,,,,,,,,
"Region, state, and institution",Total,,Hispanic or Latino,,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,More than one race,,Unknown ethnicity/race,,Temporary visa holders
,.,,.,,.,.,.,,.,.,,.,,.
All institutionsb,"37,485",,769,,61,"2,803",510,45,"10,267",135,,"3,365",,"19,530"
,,,,,,,,,,,,,,
    New England,"5,843",,77,,7,310,37,3,"1,338",12,,773,,"3,286"
,,,,,,,,,,,,,,
        Connecticut,"1,032",,16,,1,74,11,0,258,2,,78,,592
"            Trinity C., Hartford",4,,0,,0,0,0,0,4,0,,0,,0
            U. CT,143,,4,,0,10,0,0,30,0,,20,,79
            Wesleyan U.,13,,1,,0,1,0,0,7,0,,1,,3
            Yale U.,872,,11,,1,63,11,0,217,2,,57,,510
,,,,,,,,,,,,,,
        Maine,13,,1,,0,0,0,0,6,1,,1,,4
            U. ME,13,,1,,0,0,0,0,6,1,,1,,4
,,,,,,,,,,,,,,
        Massachusetts,"4,314",,56,,4,222,24,3,848,8,,679,,"2,470"
            Boston C.,65,,0,,0,6,1,0,9,0,,0,,49
            Boston U.,232,,0,,0,8,1,0,69,1,,37,,116
            Brandeis U.,102,,0,,0,4,0,0,11,0,,35,,52
            Clark U.,8,,0,,0,1,0,0,0,0,,0,,7
            Harvard U.,"2,406",,25,,1,126,12,2,404,6,,470,,"1,360"
            MA Institute of Technology,696,,16,,1,21,3,0,122,1,,112,,420
            Mt. Holyoke C.,4,,0,,0,0,0,0,1,0,,0,,3
            Northeastern U.,56,,0,,2,3,0,0,14,0,,3,,34
            Smith C.,2,,0,,0,0,0,0,2,0,,0,,0
            Tufts U.,164,,5,,0,16,2,1,64,0,,6,,70
"            U. MA, Amherst",161,,2,,0,4,2,0,50,0,,10,,93
"            U. MA, Dartmouth",10,,0,,0,0,0,0,0,0,,5,,5
"            U. MA, Lowell",16,,0,,0,2,0,0,1,0,,0,,13
"            U. MA, Medical School",288,,6,,0,26,3,0,58,0,,0,,195
            Williams C.,2,,0,,0,0,0,0,1,0,,0,,1
            Woods Hole Oceanographic Institution,89,,1,,0,5,0,0,42,0,,0,,41
            Worcester Polytechnic Institute,13,,1,,0,0,0,0,0,0,,1,,11
,,,,,,,,,,,,,,
        New Hampshire,170,,0,,1,5,0,0,70,0,,1,,93
            Dartmouth C.,131,,0,,1,3,0,0,53,0,,0,,74
            U. NH,39,,0,,0,2,0,0,17,0,,1,,19
,,,,,,,,,,,,,,
        Rhode Island,264,,4,,1,9,2,0,124,1,,14,,109
            Brown U.,229,,4,,1,9,2,0,115,1,,14,,83
            U. RI,35,,0,,0,0,0,0,9,0,,0,,26
,,,,,,,,,,,,,,
        Vermont,50,,0,,0,0,0,0,32,0,,0,,18
            U. VT,50,,0,,0,0,0,0,32,0,,0,,18
,,,,,,,,,,,,,,
    Middle Atlantic,"6,225",,106,,11,373,90,2,"1,496",7,,268,,"3,872"
,,,,,,,,,,,,,,
        New Jersey,753,,22,,2,64,13,1,188,1,,21,,441
            NJ Institute of Technology,28,,1,,0,3,0,0,1,0,,1,,22
            Princeton U.,354,,10,,0,25,1,0,126,1,,2,,189
"            Rutgers, State U. NJ",240,,8,,2,18,7,1,35,0,,18,,151
            Seton Hall U.,5,,0,,0,0,0,0,0,0,,0,,5
            Stevens Institute of Technology,5,,0,,0,0,0,0,0,0,,0,,5
            U. of Medicine and Dentistry of NJ,121,,3,,0,18,5,0,26,0,,0,,69
,,,,,,,,,,,,,,
        New York,"3,800",,67,,2,208,55,1,837,3,,171,,"2,456"
            Albany Medical C.,46,,0,,0,2,0,0,3,0,,0,,41
            Clarkson U.,11,,0,,0,1,0,0,0,0,,0,,10
            Columbia U. in the City of New York,678,,12,,0,46,14,0,172,3,,9,,422
            Cornell U.,523,,12,,1,28,9,1,152,0,,18,,302
"            CUNY, Brooklyn C.",19,,1,,0,3,1,0,5,0,,1,,8
"            CUNY, City C.",39,,0,,0,3,1,0,3,0,,4,,28
"            CUNY, C. Staten Island",10,,1,,0,2,0,0,2,0,,0,,5
"            CUNY, Graduate Ctr.",36,,0,,0,3,0,0,9,0,,1,,23
"            CUNY, Hunter C.",17,,0,,0,0,0,0,0,0,,17,,0
"            CUNY, John Jay C. of Criminal Justice",4,,0,,0,0,0,0,1,0,,0,,3
"            CUNY, Queens C.",13,,0,,0,0,0,0,1,0,,5,,7
            Fordham U.,6,,2,,0,1,0,0,3,0,,0,,0
            Hofstra U.,2,,0,,0,0,1,0,1,0,,0,,0
            Mt. Sinai School of Medicine,536,,9,,0,20,10,0,74,0,,0,,423
            NY Medical C.,26,,0,,0,1,0,0,4,0,,1,,20
            NY U.,493,,13,,0,43,8,0,133,0,,5,,291
            Polytechnic Institute of NY U.,10,,0,,0,1,0,0,1,0,,0,,8
"            Rensselaer Polytechnic U., Troy",37,,0,,0,1,0,0,4,0,,1,,31
            Rochester Institute of Technology,18,,1,,1,0,0,0,8,0,,1,,7
            Rockefeller U.,318,,2,,0,13,1,0,95,0,,0,,207
"            SUNY, U. Albany",35,,1,,0,2,1,0,12,0,,0,,19
"            SUNY, Binghamton U.",19,,0,,0,0,1,0,6,0,,0,,12
"            SUNY, C. of Environmental Science and Forestry",7,,0,,0,0,0,0,6,0,,0,,1
"            SUNY, C. of Optometry",9,,1,,0,1,0,0,1,0,,1,,5
"            SUNY, Downstate Medical Ctr.",18,,0,,0,0,0,0,0,0,,18,,0
"            SUNY, Stony Brook U.",142,,2,,0,13,1,0,41,0,,11,,74
"            SUNY, U. Buffalo",216,,4,,0,7,1,0,32,0,,12,,160
"            SUNY, Upstate Medical U.",21,,0,,0,1,0,0,2,0,,0,,18
            Syracuse U.,41,,0,,0,0,1,0,11,0,,2,,27
            U. Rochester,211,,1,,0,5,2,0,30,0,,62,,111
            Vassar C.,1,,0,,0,0,0,0,1,0,,0,,0
            Yeshiva U.,238,,5,,0,11,3,0,24,0,,2,,193
,,,,,,,,,,,,,,
        Pennsylvania,"1,672",,17,,7,101,22,0,471,3,,76,,975
            Carnegie Mellon U.,188,,0,,1,10,1,0,47,0,,21,,108
            Drexel U.,33,,0,,0,0,0,0,0,0,,11,,22
            Duquesne U.,9,,0,,0,0,0,0,2,1,,0,,6
            Lehigh U.,18,,0,,0,0,0,0,6,0,,0,,12
            PA State U.,317,,1,,0,12,1,0,98,0,,4,,201
            St. Joseph's U.,1,,0,,0,1,0,0,0,0,,0,,0
            Swarthmore C.,5,,0,,0,0,0,0,4,0,,0,,1
            Temple U.,68,,0,,0,3,1,0,16,0,,0,,48
            Thomas Jefferson U.,111,,3,,0,10,2,0,29,0,,0,,67
            U. PA,569,,5,,5,34,13,0,161,2,,40,,309
            U. Pittsburgh,341,,8,,1,29,4,0,101,0,,0,,198
            U. of the Sciences Philadelphia,7,,0,,0,2,0,0,4,0,,0,,1
            Villanova U.,4,,0,,0,0,0,0,3,0,,0,,1
            West Chester U. PA,1,,0,,0,0,0,0,0,0,,0,,1
,,,,,,,,,,,,,,
    East North Central,"4,401",,51,,7,257,54,5,"1,280",9,,260,,"2,478"
,,,,,,,,,,,,,,
        Illinois,"1,508",,17,,1,77,21,0,447,4,,32,,909
            IL Institute of Technology,16,,0,,0,0,0,0,0,0,,3,,13
            IL State U.,2,,0,,0,0,0,0,2,0,,0,,0
"            Loyola U., Chicago",30,,0,,0,1,1,0,6,0,,0,,22
