Table 8-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patents awarded per 1,000 individuals in science and engineering occupations, by state: 2003–2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Patents awarded,,,,,,,,,,,Individuals in S&E occupations,,,,,,,,,,,Patents/1000 individuals in S&E occupations,,,,,,,,,
State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
United States,"87,864","84,248","74,604","89,795","79,493","77,480","82,366","107,765","108,596","120,989",,"4,961,550","5,085,740","5,233,520","5,407,710","5,591,990","5,781,460","5,785,710","5,549,980","5,794,980","5,968,240",,17.7,16.6,14.3,16.6,14.2,13.4,14.2,19.4,18.7,20.3
Alabama ,397,375,318,357,300,279,304,444,352,413,,"56,380","57,560","62,790","66,100","69,650","68,580","68,670","68,450","70,290","72,880",,7.0,6.5,5.1,5.4,4.3,4.1,4.4,6.5,5.0,5.7
Alaska ,37,39,35,36,18,20,39,28,27,28,,"10,600","10,660","11,230","10,720","11,990","13,260","14,780","15,430","15,680","16,260",,3.5,3.7,3.1,3.4,1.5,1.5,2.6,1.8,1.7,1.7
Arizona,"1,584","1,621","1,457","1,705","1,571","1,584","1,562","1,976","2,069","2,210",,"92,120","95,380","96,410","98,110","102,380","102,100","102,820","102,870","115,330","116,930",,17.2,17.0,15.1,17.4,15.3,15.5,15.2,19.2,17.9,18.9
Arkansas ,152,132,126,138,113,108,96,144,134,178,,"21,340","22,150","24,660","24,860","28,460","29,310","31,420","29,200","29,350","29,530",,7.1,6.0,5.1,5.6,4.0,3.7,3.1,4.9,4.6,6.0
California,"19,688","19,488","17,989","22,275","19,600","19,182","20,648","27,337","28,148","32,107",,"676,180","693,670","716,530","730,010","753,570","791,750","795,240","758,830","800,430","821,780",,29.1,28.1,25.1,30.5,26.0,24.2,26.0,36.0,35.2,39.1
Colorado,"2,069","2,099","1,853","2,118","1,745","1,621","1,714","2,135","2,102","2,442",,"124,140","126,280","126,110","133,730","138,990","147,000","148,090","143,210","144,750","149,020",,16.7,16.6,14.7,15.8,12.6,11.0,11.6,14.9,14.5,16.4
Connecticut,"1,667","1,577","1,521","1,652","1,384","1,357","1,416","1,875","1,939","2,108",,"81,380","82,820","83,930","79,380","80,280","80,290","79,160","74,990","76,550","78,450",,20.5,19.0,18.1,20.8,17.2,16.9,17.9,25.0,25.3,26.9
Delaware ,346,342,318,357,330,325,311,367,418,445,,"17,370","17,980","18,010","21,550","22,140","22,330","22,200","20,920","22,430","23,440",,19.9,19.0,17.7,16.6,14.9,14.6,14.0,17.5,18.6,19.0
District of Columbia,49,75,55,63,63,68,57,82,97,131,,"54,890","57,750","63,410","64,120","63,150","63,360","61,430","59,870","62,660","63,600",,0.9,1.3,0.9,1.0,1.0,1.1,0.9,1.4,1.5,2.1
Florida,"2,563","2,456","2,291","2,601","2,358","2,046","2,197","2,978","3,136","3,686",,"221,070","229,950","241,000","246,190","244,140","248,200","247,070","239,600","244,970","248,300",,11.6,10.7,9.5,10.6,9.7,8.2,8.9,12.4,12.8,14.8
Georgia,"1,333","1,326","1,214","1,487","1,310","1,344","1,415","1,905","1,932","2,128",,"144,170","141,710","137,580","136,470","136,880","147,380",NA,"145,220","147,820","148,830",,9.2,9.4,8.8,10.9,9.6,9.1,NA,13.1,13.1,14.3
Hawaii ,75,76,50,84,64,77,71,121,101,108,,"16,090","16,360","17,460","18,940","18,740","18,830","19,020","19,500","20,100","20,930",,4.7,4.6,2.9,4.4,3.4,4.1,3.7,6.2,5.0,5.2
Idaho ,"1,803","1,785","1,529","1,663","1,350","1,162",941,"1,095","1,032",930,,"22,150","22,310","23,880",NA,"24,330","23,310","23,520","24,130","25,950","25,260",,81.4,80.0,64.0,NA,55.5,49.8,40.0,45.4,39.8,36.8
Illinois,"3,296","3,162","2,752","3,294","2,894","2,741","2,898","3,611","3,806","4,345",,"211,230","219,530","221,630","222,470","225,180","224,370","221,170","197,120","204,420","220,170",,15.6,14.4,12.4,14.8,12.9,12.2,13.1,18.3,18.6,19.7
Indiana,"1,385","1,280","1,108","1,165","1,137",985,"1,095","1,492","1,437","1,741",,"78,410","79,120","79,910","80,110","83,080","90,840","90,750","90,710","93,640","94,620",,17.7,16.2,13.9,14.5,13.7,10.8,12.1,16.4,15.3,18.4
Iowa,665,658,560,666,601,561,670,763,811,854,,"37,320","39,280","40,300","43,670","45,430","46,180","47,080","44,140","48,930","50,950",,17.8,16.8,13.9,15.3,13.2,12.1,14.2,17.3,16.6,16.8
Kansas ,428,448,380,492,424,425,435,615,707,"1,004",,"51,970","52,020","51,630","48,620","50,040","54,260","56,200","48,970","51,530","50,930",,8.2,8.6,7.4,10.1,8.5,7.8,7.7,12.6,13.7,19.7
Kentucky ,439,407,346,413,429,413,368,536,488,543,,"45,230","44,350","44,530","44,680","49,030",NA,"51,200","48,790","51,990","51,830",,9.7,9.2,7.8,9.2,8.7,NA,7.2,11.0,9.4,10.5
Louisiana ,390,343,271,321,262,260,257,304,308,364,,"41,900","42,230","41,030","40,180","38,450","41,790","43,630","44,200","42,760","45,920",,9.3,8.1,6.6,8.0,6.8,6.2,5.9,6.9,7.2,7.9
Maine ,150,134,151,142,110,113,118,211,183,211,,"15,020","15,160","15,500","15,950","15,960","17,000","17,910","17,470","17,490","17,910",,10.0,8.8,9.7,8.9,6.9,6.6,6.6,12.1,10.5,11.8
Maryland,"1,453","1,313","1,191","1,410","1,246","1,232","1,277","1,578","1,511","1,609",,"149,250","154,310","160,120","159,470","162,540","167,070","169,540","166,700","173,020","179,550",,9.7,8.5,7.4,8.8,7.7,7.4,7.5,9.5,8.7,9.0
Massachusetts,"3,908","3,672","3,114","4,011","3,510","3,516","3,696","4,923","5,191","5,734",,"184,690","186,260","193,180","198,670","205,610","217,310","217,690","208,160","220,670","229,160",,21.2,19.7,16.1,20.2,17.1,16.2,17.0,23.7,23.5,25.0
