Table 8-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Average annual federal Small Business Innovation Research funding per $1 million of gross domestic product, by state: 1988-90  -  2010-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average SBIR funding ($thousands),,,,,,,,,,Average state GDP ($millions),,,,,,,,,,SBIR funding ($)/$1 million GDP,,,,,,,,
State,1988-90,1992-94,1996-98,2000-02,2002-2004,2004-06,2006-2008,2008-2010,2010-2012,,1988-90,1992-94,1996-98,2000-02,2002-2004,2004-06,2006-2008,2008-2010,2010-2012,,1988-90,1992-94,1996-98,2000-02,2002-2004,2004-06,2006-2008,2008-2010,2010-2012
United States,"409,719","576,911","1,023,012","1,234,996","1,729,004","1,905,390","1,801,190","1,945,642","699,675",,"5,356,942","6,516,059","8,253,808","10,224,866","11,138,210","12,534,256","13,806,188","14,150,540","14,971,555",,76,89,124,121,155,152,130,137,47
Alabama ,"5,402","9,307","21,834","23,221","33,192","39,143","39,376","38,116","11,461",,"68,671","85,307","103,817","120,433","132,668","150,667","164,976","169,787","178,307",,79,109,210,193,250,260,239,224,64
Alaska ,87,164,403,480,495,345,707,816,23,,"23,254","23,214","25,875","27,513","31,382","37,974","45,377","47,623","50,335",,4,7,16,17,16,9,16,17,0
Arizona,"4,427","7,607","18,007","25,485","28,534","33,842","29,003","30,543","11,280",,"67,824","90,785","129,362","169,623","189,045","223,225","255,461","251,224","256,736",,65,84,139,150,151,152,114,122,44
Arkansas ,813,521,457,"1,663","3,240","7,103","6,965","7,620","2,463",,"36,937","48,000","60,066","71,195","78,672","88,700","97,210","101,023","106,428",,22,11,8,23,41,80,72,75,23
California,"100,855","132,628","228,557","255,855","361,242","391,739","350,717","377,314","133,814",,"722,671","831,722","1,038,437","1,348,888","1,472,700","1,685,654","1,856,525","1,854,780","1,919,238",,140,159,220,190,245,232,189,203,70
Colorado,"12,053","21,412","41,495","61,513","81,320","85,830","86,126","90,064","31,818",,"71,502","95,823","132,124","179,849","193,378","216,376","241,785","250,800","264,444",,169,223,314,342,421,397,356,359,120
Connecticut,"12,853","20,991","28,324","19,923","29,454","26,823","24,046","31,171","12,721",,"95,569","108,851","137,705","166,827","176,775","197,780","216,690","219,440","225,498",,134,193,206,119,167,136,111,142,56
Delaware ,936,"1,761","3,790","4,636","4,195","6,662","7,215","6,849","3,292",,"18,572","24,018","32,119","42,641","47,198","53,753","57,943","60,336","64,398",,50,73,118,109,89,124,125,114,51
District of Columbia,980,"1,432","2,212","5,069","5,840","3,725","3,339","2,181",709,,"37,461","45,066","49,733","63,228","72,509","82,320","91,808","99,631","106,913",,26,32,44,80,81,45,36,22,7
Florida,"10,991","11,575","20,819","26,348","37,543","41,292","44,269","46,499","16,919",,"241,023","305,414","394,852","507,936","577,287","678,036","746,840","732,421","750,525",,46,38,53,52,65,61,59,63,23
