Table 8-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Federal R&D obligations per employed worker, by state: 1990–2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Federal R&D obligations ($thousands),,,,,,,,,,,,,,,,,,,,,,,Employed workers,,,,,,,,,,,,,,,,,,,,,,,Federal R&D obligations/ employed worker ($),,,,,,,,,,,,,,,,,,,,,
State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
United States,"62,018,544","59,623,470","63,818,372","65,393,272","65,630,724","66,485,615","66,071,314","68,362,301","70,576,502","73,645,266","74,074,333","82,445,122","91,463,341","100,982,215","109,498,570","116,328,328","107,446,145","124,682,074","124,844,682","130,933,689","137,839,275","132,214,369",,"118,869,033","118,025,424","118,984,370","120,930,410","123,901,218","126,057,917","128,143,381","130,988,267","133,151,009","135,146,747","136,955,714","137,107,779","136,766,914","137,186,622","138,762,591","141,077,688","143,729,350","145,156,103","144,860,350","139,594,700","139,395,958","140,695,662",,522,505,536,541,530,527,516,522,530,545,541,601,669,736,789,825,748,859,862,938,989,940
Alabama ,"1,805,418","1,863,182","2,151,670","2,149,352","1,819,210","1,931,323","2,178,776","2,213,683","2,013,282","1,806,956","1,670,058","2,456,769","2,734,837","3,211,827","3,035,516","3,108,183","2,161,708","2,247,589","2,782,193","2,966,974","3,476,887","5,295,260",,"1,782,700","1,783,434","1,809,337","1,850,610","1,909,881","1,955,846","1,992,652","2,035,156","2,059,310","2,070,210","2,067,147","2,034,909","1,994,748","1,989,784","2,007,153","2,051,893","2,098,462","2,104,157","2,053,747","1,930,230","1,969,557","1,992,522",,"1,013","1,045","1,189","1,161",953,987,"1,093","1,088",978,873,808,"1,207","1,371","1,614","1,512","1,515","1,030","1,068","1,355","1,537","1,765","2,658"
Alaska ,"90,744","102,740","92,966","92,692","157,317","96,924","93,334","99,928","107,231","115,015","155,155","254,444","299,873","399,401","461,308","495,147","209,038","263,999","222,163","244,473","235,562","202,715",,"251,026","255,799","262,980","271,258","278,198","282,098","285,552","289,963","293,939","297,019","299,324","301,694","305,112","310,762","314,753","320,590","326,109","330,004","333,023","331,099","333,538","337,796",,361,402,354,342,565,344,327,345,365,387,518,843,983,"1,285","1,466","1,544",641,800,667,738,706,600
Arizona,"591,743","516,763","638,209","535,274","800,199","902,338","706,673","732,065","993,463","1,116,946","1,151,925","1,881,000","2,279,229","2,385,404","2,643,735","2,958,775","2,056,284","2,422,351","2,449,176","2,899,255","3,425,571","2,947,365",,"1,694,080","1,715,227","1,753,764","1,836,869","1,976,722","2,095,749","2,145,573","2,196,901","2,278,864","2,355,357","2,404,916","2,453,453","2,512,714","2,573,137","2,650,277","2,724,859","2,836,638","2,898,136","2,912,572","2,820,086","2,780,328","2,761,984",,349,301,364,291,405,431,329,333,436,474,479,767,907,927,998,"1,086",725,836,841,"1,028","1,232","1,067"
Arkansas ,"85,720","85,866","68,848","79,185","88,868","97,702","148,166","95,296","97,448","106,422","116,333","183,867","141,267","145,361","146,682","164,975","156,164","177,694","145,265","170,232","181,783","185,011",,"1,049,819","1,045,941","1,073,382","1,106,257","1,148,393","1,170,593","1,179,020","1,177,143","1,179,338","1,198,016","1,207,352","1,194,024","1,204,467","1,195,942","1,221,553","1,270,930","1,286,887","1,290,188","1,293,672","1,250,526","1,242,088","1,251,877",,82,82,64,72,77,83,126,81,83,89,96,154,117,122,120,130,121,138,112,136,146,148
California,"16,249,348","14,488,289","15,999,143","14,883,737","11,250,614","12,600,156","12,658,120","13,730,886","12,222,581","15,600,123","14,819,382","13,001,687","19,198,496","20,169,641","19,259,424","19,964,268","21,156,522","26,987,180","19,938,653","24,253,304","27,226,903","23,766,358",,"14,294,115","13,931,679","13,874,246","13,808,306","13,953,855","14,062,361","14,303,507","14,780,791","15,203,693","15,566,900","16,024,341","16,220,033","16,180,799","16,200,064","16,354,779","16,592,204","16,821,266","16,960,730","16,893,860","16,151,063","16,063,550","16,237,286",,"1,137","1,040","1,153","1,078",806,896,885,929,804,"1,002",925,802,"1,186","1,245","1,178","1,203","1,258","1,591","1,180","1,502","1,695","1,464"
Colorado,"1,888,344","2,694,164","1,479,238","1,343,392","1,356,420","1,049,208","1,277,553","1,340,231","1,336,289","1,438,682","1,398,887","1,450,603","1,728,445","1,735,047","2,068,038","2,264,933","2,029,641","2,797,532","2,668,121","3,702,982","4,348,333","3,956,160",,"1,678,229","1,704,522","1,744,235","1,831,489","1,953,111","2,041,652","2,083,740","2,154,294","2,226,296","2,269,668","2,300,192","2,303,494","2,304,109","2,339,532","2,392,952","2,455,773","2,541,828","2,583,404","2,599,724","2,511,189","2,475,831","2,490,004",,"1,125","1,581",848,733,694,514,613,622,600,634,608,630,750,742,864,922,798,"1,083","1,026","1,475","1,756","1,589"
Connecticut,"509,770","672,726","578,332","522,181","733,512","900,719","798,866","846,458","699,372","655,191","806,228","1,377,388","2,816,662","2,067,969","2,122,540","2,399,563","1,591,960","2,116,827","1,815,401","2,212,108","2,193,459","2,519,649",,"1,725,381","1,708,655","1,693,563","1,682,262","1,670,083","1,657,732","1,659,643","1,674,937","1,684,831","1,696,007","1,697,670","1,700,046","1,700,949","1,696,857","1,703,865","1,718,608","1,745,993","1,760,875","1,768,919","1,740,974","1,735,059","1,732,807",,295,394,341,310,439,543,481,505,415,386,475,810,"1,656","1,219","1,246","1,396",912,"1,202","1,026","1,271","1,264","1,454"
Delaware ,"28,294","41,782","43,065","56,160","50,441","57,746","64,865","48,964","45,214","52,255","69,867","83,546","80,561","95,399","89,747","94,151","108,657","130,615","144,314","211,132","129,091","115,097",,"347,038","342,525","347,194","353,156","360,866","366,200","371,975","378,117","383,360","387,808","402,777","404,135","401,301","403,504","408,266","417,196","424,618","427,265","423,448","405,553","402,612","407,772",,82,122,124,159,140,158,174,129,118,135,173,207,201,236,220,226,256,306,341,521,321,282
District of Columbia,"1,593,071","1,943,712","2,185,196","2,488,783","2,483,607","2,755,369","2,574,139","2,232,284","2,229,794","2,451,606","2,443,108","2,775,973","3,145,586","2,985,543","3,329,397","4,161,778","4,091,852","4,277,707","17,537,244","4,201,784","3,890,121","3,244,864",,"311,838","297,828","290,103","287,731","285,207","273,764","265,734","262,789","270,242","288,016","291,916","286,649","284,615","285,361","288,397","298,611","303,791","307,920","311,905","302,687","310,842","312,859",,"5,109","6,526","7,532","8,650","8,708","10,065","9,687","8,495","8,251","8,512","8,369","9,684","11,052","10,462","11,544","13,937","13,469","13,892","56,226","13,882","12,515","10,372"
Florida,"2,343,430","2,181,144","2,832,290","2,775,255","2,906,709","2,391,836","2,957,866","3,326,418","2,754,904","2,284,405","2,286,464","2,774,006","2,542,044","2,854,088","3,265,014","2,590,033","2,319,079","4,078,193","2,290,401","3,229,774","3,142,237","2,572,256",,"6,060,994","6,055,255","6,133,417","6,298,142","6,501,689","6,650,064","6,822,517","7,040,660","7,232,345","7,401,659","7,569,406","7,624,718","7,662,511","7,785,547","7,998,202","8,305,281","8,584,095","8,839,027","8,637,200","8,152,332","8,141,447","8,322,237",,387,360,462,441,447,360,434,472,381,309,302,364,332,367,408,312,270,461,265,396,386,309
Georgia,"364,102","466,521","2,512,567","3,035,313","5,546,365","4,366,021","4,137,785","3,919,868","3,443,943","2,023,240","2,654,039","3,438,270","2,228,988","2,133,046","1,906,523","2,181,847","1,251,445","1,686,209","1,386,021","1,705,699","1,519,954","1,467,224",,"3,129,389","3,132,596","3,182,777","3,278,794","3,412,606","3,522,905","3,638,219","3,751,699","3,861,646","3,951,684","4,095,362","4,112,868","4,135,381","4,173,787","4,249,007","4,375,178","4,500,150","4,587,739","4,540,706","4,289,819","4,241,718","4,295,113",,116,149,789,926,"1,625","1,239","1,137","1,045",892,512,648,836,539,511,449,499,278,368,305,398,358,342
Hawaii ,"99,980","112,594","150,654","113,005","140,305","139,291","147,574","150,722","164,525","198,808","234,291","435,685","428,262","413,945","488,209","600,260","340,094","379,219","347,753","378,655","389,447","426,895",,"537,620","547,351","551,563","556,331","555,749","557,042","561,683","566,766","570,152","576,314","584,858","589,216","584,354","592,469","598,175","609,835","617,807","620,107","617,496","593,514","603,894","614,824",,186,206,273,203,252,250,263,266,289,345,401,739,733,699,816,984,550,612,563,638,645,694
