"States and selected areas:  Employment status of the civilian noninstitutional population,",,,,,,,,,
1976 to 2013 annual averages,,,,,,,,,
,,,,,,,,,
FIPS Code,State and area,Year,Civilian non-institutional population,Civilian labor force,,,,,
,,,,Total,Percent of population,Employment,,Unemployment,
,,,,,,Total,Percent of population,Total,Rate
,,,,,,Labor force,,level,rate
,,,,,,,,,
01,Alabama,1976,"2,632,667   ","1,491,367   ",56.6   ,"1,396,193   ",53.0   ,"95,174   ",6.4   
02,Alaska,1976,"239,917   ","163,758   ",68.3   ,"151,344   ",63.1   ,"12,414   ",7.6   
04,Arizona,1976,"1,650,917   ","981,758   ",59.5   ,"885,479   ",53.6   ,"96,279   ",9.8   
05,Arkansas,1976,"1,546,583   ","892,660   ",57.7   ,"831,452   ",53.8   ,"61,208   ",6.9   
06,California,1976,"15,823,750   ","9,888,124   ",62.5   ,"8,979,772   ",56.7   ,"908,352   ",9.2   
037,Los Angeles County,1976,"5,320,083   ","3,391,544   ",63.7   ,"3,090,769   ",58.1   ,"300,775   ",8.9   
08,Colorado,1976,"1,858,250   ","1,246,349   ",67.1   ,"1,171,613   ",63.0   ,"74,736   ",6.0   
09,Connecticut,1976,"2,260,083   ","1,455,317   ",64.4   ,"1,322,564   ",58.5   ,"132,753   ",9.1   
10,Delaware,1976,"420,667   ","263,754   ",62.7   ,"242,325   ",57.6   ,"21,429   ",8.1   
11,District of Columbia,1976,"517,250   ","335,992   ",65.0   ,"305,009   ",59.0   ,"30,983   ",9.2   
12,Florida,1976,"6,509,000   ","3,611,712   ",55.5   ,"3,277,608   ",50.4   ,"334,104   ",9.3   
13,Georgia,1976,"3,557,750   ","2,269,778   ",63.8   ,"2,086,181   ",58.6   ,"183,597   ",8.1   
15,Hawaii,1976,"591,833   ","410,248   ",69.3   ,"372,262   ",62.9   ,"37,986   ",9.3   
16,Idaho,1976,"589,333   ","372,052   ",63.1   ,"351,792   ",59.7   ,"20,260   ",5.4   
17,Illinois,1976,"8,177,500   ","5,139,720   ",62.9   ,"4,802,933   ",58.7   ,"336,787   ",6.6   
18,Indiana,1976,"3,812,500   ","2,432,539   ",63.8   ,"2,284,619   ",59.9   ,"147,920   ",6.1   
19,Iowa,1976,"2,081,583   ","1,338,683   ",64.3   ,"1,284,185   ",61.7   ,"54,498   ",4.1   
20,Kansas,1976,"1,647,583   ","1,075,390   ",65.3   ,"1,030,125   ",62.5   ,"45,265   ",4.2   
21,Kentucky,1976,"2,486,500   ","1,498,278   ",60.3   ,"1,415,732   ",56.9   ,"82,546   ",5.5   
22,Louisiana,1976,"2,707,250   ","1,525,709   ",56.4   ,"1,425,882   ",52.7   ,"99,827   ",6.5   
23,Maine,1976,"772,833   ","476,265   ",61.6   ,"435,744   ",56.4   ,"40,521   ",8.5   
24,Maryland,1976,"2,977,417   ","1,916,825   ",64.4   ,"1,790,626   ",60.1   ,"126,199   ",6.6   
25,Massachusetts,1976,"4,212,167   ","2,725,939   ",64.7   ,"2,458,306   ",58.4   ,"267,633   ",9.8   
26,Michigan,1976,"6,453,167   ","3,978,108   ",61.6   ,"3,602,604   ",55.8   ,"375,504   ",9.4   
27,Minnesota,1976,"2,812,250   ","1,858,045   ",66.1   ,"1,748,910   ",62.2   ,"109,135   ",5.9   
28,Mississippi,1976,"1,657,167   ","969,239   ",58.5   ,"904,375   ",54.6   ,"64,864   ",6.7   
29,Missouri,1976,"3,486,917   ","2,125,753   ",61.0   ,"1,994,782   ",57.2   ,"130,971   ",6.2   
30,Montana,1976,"536,667   ","332,501   ",62.0   ,"313,223   ",58.4   ,"19,278   ",5.8   
31,Nebraska,1976,"1,101,167   ","712,153   ",64.7   ,"689,157   ",62.6   ,"22,996   ",3.2   
32,Nevada,1976,"463,417   ","328,523   ",70.9   ,"299,294   ",64.6   ,"29,229   ",8.9   
33,New Hampshire,1976,"602,000   ","397,326   ",66.0   ,"370,837   ",61.6   ,"26,489   ",6.7   
34,New Jersey,1976,"5,382,750   ","3,309,901   ",61.5   ,"2,963,559   ",55.1   ,"346,342   ",10.5   
35,New Mexico,1976,"808,000   ","485,451   ",60.1   ,"442,856   ",54.8   ,"42,595   ",8.8   
36,New York,1976,"13,221,750   ","7,689,240   ",58.2   ,"6,903,595   ",52.2   ,"785,645   ",10.2   
51000,New York city,1976,"5,679,083   ","3,091,849   ",54.4   ,"2,747,507   ",48.4   ,"344,342   ",11.1   
37,North Carolina,1976,"3,937,333   ","2,611,014   ",66.3   ,"2,446,126   ",62.1   ,"164,888   ",6.3   
38,North Dakota,1976,"446,250   ","278,042   ",62.3   ,"267,703   ",60.0   ,"10,339   ",3.7   
39,Ohio,1976,"7,731,000   ","4,772,454   ",61.7   ,"4,404,280   ",57.0   ,"368,174   ",7.7   
40,Oklahoma,1976,"2,020,583   ","1,192,065   ",59.0   ,"1,123,183   ",55.6   ,"68,882   ",5.8   
41,Oregon,1976,"1,739,583   ","1,096,537   ",63.0   ,"994,671   ",57.2   ,"101,866   ",9.3   
42,Pennsylvania,1976,"8,807,167   ","5,132,351   ",58.3   ,"4,721,443   ",53.6   ,"410,908   ",8.0   
44,Rhode Island,1976,"695,750   ","440,960   ",63.4   ,"405,847   ",58.3   ,"35,113   ",8.0   
45,South Carolina,1976,"2,007,417   ","1,284,450   ",64.0   ,"1,193,533   ",59.5   ,"90,917   ",7.1   
46,South Dakota,1976,"480,583   ","308,671   ",64.2   ,"298,130   ",62.0   ,"10,541   ",3.4   
47,Tennessee,1976,"3,112,917   ","1,860,758   ",59.8   ,"1,745,576   ",56.1   ,"115,182   ",6.2   
48,Texas,1976,"8,957,667   ","5,705,971   ",63.7   ,"5,375,578   ",60.0   ,"330,393   ",5.8   
49,Utah,1976,"836,417   ","525,872   ",62.9   ,"496,231   ",59.3   ,"29,641   ",5.6   
50,Vermont,1976,"342,917   ","218,273   ",63.7   ,"199,746   ",58.2   ,"18,527   ",8.5   
51,Virginia,1976,"3,578,083   ","2,342,359   ",65.5   ,"2,205,277   ",61.6   ,"137,082   ",5.9   
53,Washington,1976,"2,633,667   ","1,623,187   ",61.6   ,"1,479,689   ",56.2   ,"143,498   ",8.8   
54,West Virginia,1976,"1,366,917   ","698,047   ",51.1   ,"646,629   ",47.3   ,"51,418   ",7.4   
55,Wisconsin,1976,"3,266,333   ","2,140,619   ",65.5   ,"2,021,850   ",61.9   ,"118,769   ",5.5   
56,Wyoming,1976,"275,500   ","180,003   ",65.3   ,"172,798   ",62.7   ,"7,205   ",4.0   
01,Alabama,1977,"2,688,917   ","1,565,763   ",58.2   ,"1,459,192   ",54.3   ,"106,571   ",6.8   
02,Alaska,1977,"248,083   ","173,322   ",69.9   ,"156,649   ",63.1   ,"16,673   ",9.6   
04,Arizona,1977,"1,726,250   ","1,042,068   ",60.4   ,"954,531   ",55.3   ,"87,537   ",8.4   
05,Arkansas,1977,"1,581,917   ","928,490   ",58.7   ,"869,276   ",55.0   ,"59,214   ",6.4   
06,California,1977,"16,277,917   ","10,383,366   ",63.8   ,"9,517,965   ",58.5   ,"865,401   ",8.3   
037,Los Angeles County,1977,"5,394,417   ","3,468,056   ",64.3   ,"3,189,148   ",59.1   ,"278,908   ",8.0   
08,Colorado,1977,"1,923,667   ","1,304,236   ",67.8   ,"1,219,529   ",63.4   ,"84,707   ",6.5   
09,Connecticut,1977,"2,286,000   ","1,483,464   ",64.9   ,"1,378,513   ",60.3   ,"104,951   ",7.1   
10,Delaware,1977,"428,583   ","268,475   ",62.6   ,"247,210   ",57.7   ,"21,265   ",7.9   
11,District of Columbia,1977,"512,500   ","328,777   ",64.2   ,"300,834   ",58.7   ,"27,943   ",8.5   
12,Florida,1977,"6,720,167   ","3,749,034   ",55.8   ,"3,437,032   ",51.1   ,"312,002   ",8.3   
13,Georgia,1977,"3,646,333   ","2,329,372   ",63.9   ,"2,167,625   ",59.4   ,"161,747   ",6.9   
15,Hawaii,1977,"608,917   ","418,523   ",68.7   ,"386,127   ",63.4   ,"32,396   ",7.7   
16,Idaho,1977,"611,000   ","395,772   ",64.8   ,"373,742   ",61.2   ,"22,030   ",5.6   
17,Illinois,1977,"8,280,750   ","5,276,585   ",63.7   ,"4,949,882   ",59.8   ,"326,703   ",6.2   
18,Indiana,1977,"3,868,417   ","2,495,025   ",64.5   ,"2,351,509   ",60.8   ,"143,516   ",5.8   
19,Iowa,1977,"2,109,250   ","1,382,408   ",65.5   ,"1,327,851   ",63.0   ,"54,557   ",3.9   
20,Kansas,1977,"1,673,667   ","1,110,790   ",66.4   ,"1,066,860   ",63.7   ,"43,930   ",4.0   
21,Kentucky,1977,"2,538,167   ","1,534,673   ",60.5   ,"1,459,285   ",57.5   ,"75,388   ",4.9   
22,Louisiana,1977,"2,775,417   ","1,597,516   ",57.6   ,"1,488,492   ",53.6   ,"109,024   ",6.8   
23,Maine,1977,"790,083   ","481,709   ",61.0   ,"441,823   ",55.9   ,"39,886   ",8.3   
24,Maryland,1977,"3,030,250   ","1,973,921   ",65.1   ,"1,852,628   ",61.1   ,"121,293   ",6.1   
25,Massachusetts,1977,"4,254,167   ","2,759,859   ",64.9   ,"2,541,441   ",59.7   ,"218,418   ",7.9   
26,Michigan,1977,"6,543,083   ","4,106,771   ",62.8   ,"3,768,991   ",57.6   ,"337,780   ",8.2   
27,Minnesota,1977,"2,861,667   ","1,921,151   ",67.1   ,"1,818,307   ",63.5   ,"102,844   ",5.4   
28,Mississippi,1977,"1,690,583   ","998,457   ",59.1   ,"923,240   ",54.6   ,"75,217   ",7.5   
29,Missouri,1977,"3,535,000   ","2,200,941   ",62.3   ,"2,070,671   ",58.6   ,"130,270   ",5.9   
30,Montana,1977,"550,500   ","343,957   ",62.5   ,"323,885   ",58.8   ,"20,072   ",5.8   
31,Nebraska,1977,"1,114,417   ","741,152   ",66.5   ,"715,739   ",64.2   ,"25,413   ",3.4   
32,Nevada,1977,"492,500   ","351,192   ",71.3   ,"327,543   ",66.5   ,"23,649   ",6.7   
33,New Hampshire,1977,"625,667   ","418,974   ",67.0   ,"395,614   ",63.2   ,"23,360   ",5.6   
34,New Jersey,1977,"5,436,833   ","3,383,829   ",62.2   ,"3,067,906   ",56.4   ,"315,923   ",9.3   
35,New Mexico,1977,"838,583   ","509,560   ",60.8   ,"470,681   ",56.1   ,"38,879   ",7.6   
36,New York,1977,"13,244,083   ","7,731,316   ",58.4   ,"7,021,092   ",53.0   ,"710,224   ",9.2   
51000,New York city,1977,"5,618,250   ","3,050,506   ",54.3   ,"2,738,436   ",48.7   ,"312,070   ",10.2   
37,North Carolina,1977,"4,027,333   ","2,688,223   ",66.7   ,"2,529,193   ",62.8   ,"159,030   ",5.9   
38,North Dakota,1977,"453,417   ","289,174   ",63.8   ,"275,939   ",60.9   ,"13,235   ",4.6   
39,Ohio,1977,"7,812,167   ","4,822,728   ",61.7   ,"4,512,102   ",57.8   ,"310,626   ",6.4   
40,Oklahoma,1977,"2,065,583   ","1,234,455   ",59.8   ,"1,172,713   ",56.8   ,"61,742   ",5.0   
41,Oregon,1977,"1,800,333   ","1,152,097   ",64.0   ,"1,066,033   ",59.2   ,"86,064   ",7.5   
42,Pennsylvania,1977,"8,879,000   ","5,208,145   ",58.7   ,"4,807,072   ",54.1   ,"401,073   ",7.7   
44,Rhode Island,1977,"706,083   ","447,546   ",63.4   ,"412,959   ",58.5   ,"34,587   ",7.7   
45,South Carolina,1977,"2,061,250   ","1,311,191   ",63.6   ,"1,221,954   ",59.3   ,"89,237   ",6.8   
46,South Dakota,1977,"486,583   ","317,363   ",65.2   ,"306,399   ",63.0   ,"10,964   ",3.5   
47,Tennessee,1977,"3,188,167   ","1,939,017   ",60.8   ,"1,816,693   ",57.0   ,"122,324   ",6.3   
48,Texas,1977,"9,243,167   ","5,962,470   ",64.5   ,"5,641,416   ",61.0   ,"321,054   ",5.4   
49,Utah,1977,"866,000   ","550,190   ",63.5   ,"521,164   ",60.2   ,"29,026   ",5.3   
50,Vermont,1977,"351,583   ","228,376   ",65.0   ,"212,105   ",60.3   ,"16,271   ",7.1   
51,Virginia,1977,"3,667,667   ","2,401,842   ",65.5   ,"2,269,167   ",61.9   ,"132,675   ",5.5   
53,Washington,1977,"2,719,000   ","1,696,932   ",62.4   ,"1,555,038   ",57.2   ,"141,894   ",8.4   
54,West Virginia,1977,"1,394,583   ","718,080   ",51.5   ,"670,524   ",48.1   ,"47,556   ",6.6   
55,Wisconsin,1977,"3,319,417   ","2,194,274   ",66.1   ,"2,083,604   ",62.8   ,"110,670   ",5.0   
56,Wyoming,1977,"288,833   ","195,147   ",67.6   ,"188,505   ",65.3   ,"6,642   ",3.4   
01,Alabama,1978,"2,745,083   ","1,621,071   ",59.1   ,"1,524,618   ",55.5   ,"96,453   ",5.9   
02,Alaska,1978,"255,000   ","180,792   ",70.9   ,"161,581   ",63.4   ,"19,211   ",10.6   
