Table 8-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Business-performed domestic R&D as a percentage of private-industry output, by state: 1998Ð2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Business-performed domestic R&D ($millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private-industry output ($millions),,,,,,,,,,,,,,,,Business-performed domestic R&D/ private-industry output (%),,,,,,,,,,,,,
State,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
United States,"169,180",,"184,129",,"201,962",,"202,017",,"193,868",,"200,724",,"208,301",,"226,159",,"247,669",,"269,267",,"244,987",,"231,031",,"278,977",,"294,093",,,"7,694,420","8,199,564","8,736,086","9,010,778","9,289,355","9,706,888","10,345,571","11,037,057","11,709,405","12,268,770","12,437,148","12,056,679","12,532,288","13,081,829",0,,2.2,2.25,2.31,2.24,2.09,2.07,2.01,2.05,2.12,2.19,1.97,1.92,2.23,2.25
Alabama ,845,   ,823,,821,i,905,,846,,992,r,"1,227",   ,"1,417",,"1,835",,"1,771",,922,,609,,"1,449",,"1,879",,,"89,688","94,636","98,012","101,748","105,393","109,983","119,924","127,560","134,131","138,759","142,319","137,334","143,342","148,510",0,,0.94,0.87,0.84,0.89,0.8,0.9,1.02,1.11,1.37,1.28,0.65,0.44,1.01,1.27
Alaska ,37,e,82,e,48,e,68,,51,e,36,e,35,e,32,,49,e,58,e,52,e,47,,74,,84,e,,"18,253","18,756","20,603","22,208","22,931","24,610","27,722","30,608","34,059","36,543","41,215","36,091","38,855","41,756",0,,0.2,0.44,0.23,0.31,0.22,0.15,0.13,0.1,0.14,0.16,0.13,0.13,0.19,0.2
Arizona,"1,801",   ,"2,109",i,"2,182",i,"2,707",,"3,201",,"2,604",r,"2,570",   ,"2,980",,"3,590",   ,"3,846",,"3,268",,"2,830",,"4,054",,"4,931",,,"121,682","132,241","142,057","148,971","154,644","164,948","175,145","194,529","215,927","227,144","227,312","212,116","214,130","222,442",0,,1.48,1.59,1.54,1.82,2.07,1.58,1.47,1.53,1.66,1.69,1.44,1.33,1.89,2.22
Arkansas ,213,e,326,   ,400, ,254,e,225,e,270,   ,287,   ,271,,285, ,339,,399,,217,,276,,344,,,"54,170","58,103","59,732","62,027","64,650","67,765","72,738","76,401","80,964","84,179","86,475","84,965","88,126","91,227",0,,0.39,0.56,0.67,0.41,0.35,0.4,0.39,0.35,0.35,0.4,0.46,0.26,0.31,0.38
California,"32,856",   ,"38,169",   ,"45,455", ,"44,628",,"42,177",,"46,401",r,"46,614",   ,"50,683",,"58,424",   ,"64,187",,"54,231",,"53,569",,"64,914",,"75,035",,,"992,233","1,083,620","1,180,330","1,190,581","1,228,419","1,292,559","1,393,440","1,503,700","1,603,109","1,661,631","1,679,822","1,597,907","1,624,955","1,687,543",0,,3.31,3.52,3.85,3.75,3.43,3.59,3.35,3.37,3.64,3.86,3.23,3.35,3.99,4.45
Colorado,"3,180",   ,"3,266",   ,"3,143", ,"3,082",,"2,823",,"3,543",r,"4,008",   ,"4,299",,"4,657",   ,"5,223",,"3,396",,"3,370",,"3,899",,"4,310",,,"124,775","137,066","152,779","160,347","164,035","168,372","176,727","190,902","202,993","214,360","221,628","213,419","221,299","230,650",0,,2.55,2.38,2.06,1.92,1.72,2.1,2.27,2.25,2.29,2.44,1.53,1.58,1.76,1.87
Connecticut,"3,346",   ,"4,145",i,"4,132",i,"4,686",,"6,077",,"5,834",   ,"7,177",   ,"7,885",,"8,273",   ,"9,444",,"8,938",,"9,128",,"6,498",,"7,504",,,"131,060","136,154","149,368","152,898","152,783","157,598","170,656","178,337","190,578","200,221","197,412","196,194","201,049","204,211",0,,2.55,3.04,2.77,3.06,3.98,3.7,4.21,4.42,4.34,4.72,4.53,4.65,3.23,3.67
