State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
United States,233.9528024,NA,237.101845,NA,239.064293,NA,239.0933145,NA,240.111883,NA,241.1801913
Alabama,223.3446426,NA,225.0712362,NA,228.520018,NA,227.9626504,NA,231.286019,NA,232.8613325
Alaska,232.9916543,NA,235.5107055,NA,237.2738932,NA,237.2122843,NA,236.359658,NA,236.1220044
Arizona,228.9113961,NA,229.8006731,NA,231.9369335,NA,229.9911052,NA,235.157597,NA,240.3049115
Arkansas,229.0065887,NA,235.545467,NA,237.6706874,NA,237.5405919,NA,237.810157,NA,239.8905221
California,227.4549818,NA,230.3669575,NA,230.0340912,NA,231.6749272,NA,234.1649932,NA,233.6544646
Colorado,235.1931161,NA,239.2158745,NA,240.2058902,NA,243.13244,NA,244.4560971,NA,246.975708
Connecticut,240.6152416,NA,242.1207324,NA,242.7556468,NA,244.7177427,NA,242.4134069,NA,243.4402974
Delaware,235.8594245,NA,239.7169124,NA,241.7948949,NA,239.4905694,NA,240.3598324,NA,243.1077582
Florida,233.7288115,NA,238.9306496,NA,242.02025,NA,241.9449094,NA,239.826451,NA,241.6758096
Georgia,230.2549768,NA,233.6357378,NA,235.2090171,NA,236.0295729,NA,238.3665421,NA,240.0472366
Hawaii,226.8346102,NA,230.0968754,NA,234.286135,NA,235.6797808,NA,238.8219278,NA,243.3086189
Idaho,234.9437647,NA,241.6501157,NA,240.9028435,NA,241.0428023,NA,240.3288325,NA,240.7220198
Illinois,232.8567753,NA,233.067494,NA,237.2870413,NA,238.2856688,NA,238.8368789,NA,239.000204
Indiana,237.9682799,NA,240.0690988,NA,245.144255,NA,242.6168096,NA,243.836876,NA,248.5967774
Iowa,238.4766945,NA,239.8808018,NA,242.8195893,NA,242.595644,NA,242.6048729,NA,245.7935055
Kansas,241.7473658,NA,245.7820465,NA,247.9236542,NA,245.3086536,NA,246.2553348,NA,246.1857019
Kentucky,228.7263433,NA,231.4923054,NA,235.0879202,NA,238.8359023,NA,240.8307002,NA,241.4699268
Louisiana,226.2477291,NA,230.2311964,NA,230.0431193,NA,229.4324555,NA,230.7788693,NA,231.3663086
Maine,237.6157104,NA,240.6914597,NA,242.370604,NA,244.4557328,NA,244.2570165,NA,245.8470018
Maryland,233.0798523,NA,238.4217067,NA,240.3282307,NA,243.795041,NA,247.1065558,NA,245.1693795
Massachusetts,241.6645274,NA,247.337049,NA,252.4303198,NA,252.2547897,NA,253.3964558,NA,253.0337852
Michigan,235.6869747,NA,237.706003,NA,237.6055535,NA,236.2797197,NA,236.4022137,NA,236.8197784
Minnesota,241.9122956,NA,245.7461911,NA,246.9977624,NA,249.4555342,NA,249.1866861,NA,253.4209611
Mississippi,222.8906005,NA,226.6988447,NA,227.6123771,NA,227.2622608,NA,229.8680222,NA,231.1057214
Missouri,234.8364254,NA,235.0355476,NA,239.4111029,NA,240.6843809,NA,240.494831,NA,239.5483619
Montana,235.7549153,NA,240.5754886,NA,243.6188113,NA,244.4007519,NA,243.7966065,NA,243.6988846
Nebraska,236.2541084,NA,237.7061785,NA,238.0408086,NA,238.7484634,NA,239.8032687,NA,243.1579291
Nevada,227.5135983,NA,229.8715955,NA,231.7816005,NA,235.1522739,NA,237.0318789,NA,236.2628994
New Hampshire,243.1101422,NA,245.6259264,NA,248.5715266,NA,251.0717526,NA,251.7788368,NA,252.9935252
New Jersey,238.7765412,NA,243.9789314,NA,248.6215224,NA,246.5298698,NA,248.0041626,NA,246.8709092
New Mexico,222.5180092,NA,224.0272183,NA,228.0643128,NA,230.0295892,NA,232.8403707,NA,232.7814329
New York,235.9300755,NA,238.1739767,NA,242.5430182,NA,240.6410988,NA,237.5199426,NA,240.3498169
North Carolina,242.0401256,NA,241.2355493,NA,241.617994,NA,243.7784601,NA,244.5179008,NA,244.8017329
North Dakota,237.5773868,NA,242.7369951,NA,245.4158542,NA,245.1895263,NA,245.156416,NA,246.4247949
Ohio,237.7820679,NA,242.1059352,NA,244.5327317,NA,243.6875529,NA,244.0386216,NA,245.5497969
Oklahoma,229.0966213,NA,233.9553288,NA,236.8021942,NA,236.7809856,NA,237.4290823,NA,238.9218775
Oregon,236.3059056,NA,238.3249306,NA,236.0396573,NA,238.0323272,NA,236.914497,NA,240.099252
Pennsylvania,235.9470171,NA,240.5729633,NA,244.0012735,NA,243.5878732,NA,245.6549103,NA,244.01262
Rhode Island,230.297962,NA,233.4367723,NA,235.8779358,NA,238.7668591,NA,241.6247747,NA,241.4167352
South Carolina,235.7932235,NA,238.3026753,NA,237.1074115,NA,235.6683025,NA,237.303025,NA,236.6258997
South Dakota,237.2648206,NA,241.5941861,NA,241.2134286,NA,242.0977898,NA,240.9797923,NA,240.9810997
Tennessee,227.7550447,NA,231.6880797,NA,232.7537101,NA,231.8254862,NA,232.901117,NA,239.774787
Texas,237.3059218,NA,241.9909163,NA,242.3397599,NA,240.4646237,NA,241.1017937,NA,241.9262887
Utah,234.7829509,NA,238.7974238,NA,239.4049889,NA,240.3187126,NA,242.5375131,NA,242.8206887
Vermont,241.9260724,NA,243.5288554,NA,246.357405,NA,247.7672261,NA,246.6397299,NA,247.8032947
Virginia,239.2030891,NA,240.4975682,NA,243.5211298,NA,243.0712969,NA,245.3336181,NA,246.1774569
Washington,238.2928395,NA,241.6846745,NA,242.542232,NA,242.2570912,NA,243.1828847,NA,246.2883381
West Virginia,230.7677485,NA,230.8432679,NA,236.3378058,NA,232.9831445,NA,234.6558068,NA,237.4406327
Wisconsin,236.755414,NA,240.5685819,NA,244.1812142,NA,243.5852535,NA,244.6918655,NA,244.7062916
Wyoming,241.0857006,NA,242.9559138,NA,243.8669151,NA,242.0091957,NA,243.874435,NA,246.5224009
