C15003: EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER - Universe: Population 25 years and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 American Community Survey 1-Year Estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: This is a modified view of the original table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Supporting documentation on code lists, subject definitions, data accuracy, and statistical testing can be found on the American Community Survey website in the Data and Documentation section.

Sample size and data quality measures (including coverage rates, allocation rates, and response rates) can be found on the American Community Survey website in the Methodology section.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Although the American Community Survey (ACS) produces population, demographic and housing unit estimates, it is the Census Bureau's Population Estimates Program that produces and disseminates the official estimates of the population for the nation, states, counties, cities and towns and estimates of housing units for states and counties.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Total:,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Total:,,,Less Than High School Degree (%),At Least High School or GED (%),Bachelor's Degree (%),Graduate Degree or Higher (%),,,,,,,,,,,,,,,,,,,,
United States,,Estimate,,"210,910,615",,,13.40,57.00,18.40,11.20,,,,,,,,,,,,,,,,,,,,
Alabama,,Estimate,,"3,225,447",,,15.46,61.07,14.76,8.71,,,,,,,,,,,,,,,,,,,,
Alaska,,Estimate,,"462,659",,,8.36,63.67,18.16,9.81,,,,,,,,,,,,,,,,,,,,
Arizona,,Estimate,,"4,344,737",,,14.09,58.56,17.08,10.28,,,,,,,,,,,,,,,,,,,,
Arkansas,,Estimate,,"1,960,503",,,15.58,63.82,13.40,7.20,,,,,,,,,,,,,,,,,,,,
California,,Estimate,,"25,147,232",,,18.32,50.64,19.51,11.53,,,,,,,,,,,,,,,,,,,,
Colorado,,Estimate,,"3,514,235",,,9.46,52.74,23.84,13.95,,,,,,,,,,,,,,,,,,,,
Connecticut,,Estimate,,"2,465,315",,,10.34,52.44,20.63,16.59,,,,,,,,,,,,,,,,,,,,
Delaware,,Estimate,,"629,730",,,11.68,58.56,17.16,12.59,,,,,,,,,,,,,,,,,,,,
Florida,,Estimate,,"13,726,996",,,13.17,59.63,17.55,9.65,,,,,,,,,,,,,,,,,,,,
Georgia,,Estimate,,"6,472,172",,,14.52,57.16,17.77,10.56,,,,,,,,,,,,,,,,,,,,
Hawaii,,Estimate,,"959,903",,,9.00,59.83,20.76,10.42,,,,,,,,,,,,,,,,,,,,
Idaho,,Estimate,,"1,026,889",,,10.61,63.16,18.04,8.20,,,,,,,,,,,,,,,,,,,,
Illinois,,Estimate,,"8,593,665",,,12.16,55.72,19.77,12.35,,,,,,,,,,,,,,,,,,,,
Indiana,,Estimate,,"4,312,892",,,12.43,63.75,15.19,8.62,,,,,,,,,,,,,,,,,,,,
Iowa,,Estimate,,"2,048,270",,,8.41,65.15,18.07,8.36,,,,,,,,,,,,,,,,,,,,
Kansas,,Estimate,,"1,872,445",,,9.95,59.00,20.00,11.05,,,,,,,,,,,,,,,,,,,,
Kentucky,,Estimate,,"2,953,653",,,15.90,61.51,13.29,9.29,,,,,,,,,,,,,,,,,,,,
Louisiana,,Estimate,,"3,034,973",,,16.92,60.53,14.94,7.61,,,,,,,,,,,,,,,,,,,,
Maine,,Estimate,,"953,962",,,8.15,63.63,18.08,10.14,,,,,,,,,,,,,,,,,,,,
Maryland,,Estimate,,"4,018,701",,,10.85,51.73,20.28,17.14,,,,,,,,,,,,,,,,,,,,
Massachusetts,,Estimate,,"4,604,795",,,10.10,49.61,22.53,17.76,,,,,,,,,,,,,,,,,,,,
Michigan,,Estimate,,"6,645,295",,,10.57,62.53,16.39,10.51,,,,,,,,,,,,,,,,,,,,
Minnesota,,Estimate,,"3,629,333",,,7.57,58.90,22.41,11.12,,,,,,,,,,,,,,,,,,,,
Mississippi,,Estimate,,"1,931,054",,,17.63,61.99,12.87,7.50,,,,,,,,,,,,,,,,,,,,
Missouri,,Estimate,,"4,047,283",,,11.31,61.74,16.95,10.01,,,,,,,,,,,,,,,,,,,,
Montana,,Estimate,,"689,169",,,7.32,63.69,19.66,9.33,,,,,,,,,,,,,,,,,,,,
Nebraska,,Estimate,,"1,215,208",,,9.75,60.89,19.60,9.76,,,,,,,,,,,,,,,,,,,,
Nevada,,Estimate,,"1,872,884",,,14.84,62.62,15.07,7.47,,,,,,,,,,,,,,,,,,,,
New Hampshire,,Estimate,,"924,568",,,7.23,58.21,21.90,12.65,,,,,,,,,,,,,,,,,,,,
New Jersey,,Estimate,,"6,086,705",,,11.49,51.95,22.58,13.99,,,,,,,,,,,,,,,,,,,,
New Mexico,,Estimate,,"1,361,846",,,15.75,57.86,15.00,11.39,,,,,,,,,,,,,,,,,,,,
New York,,Estimate,,"13,419,310",,,14.41,51.51,19.30,14.78,,,,,,,,,,,,,,,,,,,,
North Carolina,,Estimate,,"6,568,110",,,14.29,57.32,18.44,9.95,,,,,,,,,,,,,,,,,,,,
North Dakota,,Estimate,,"467,815",,,8.50,64.36,19.98,7.15,,,,,,,,,,,,,,,,,,,,
Ohio,,Estimate,,"7,805,254",,,10.97,62.88,16.40,9.75,,,,,,,,,,,,,,,,,,,,
Oklahoma,,Estimate,,"2,506,437",,,13.27,62.93,16.08,7.72,,,,,,,,,,,,,,,,,,,,
Oregon,,Estimate,,"2,704,043",,,10.26,59.01,19.27,11.47,,,,,,,,,,,,,,,,,,,,
Pennsylvania,,Estimate,,"8,809,510",,,10.80,60.51,17.48,11.20,,,,,,,,,,,,,,,,,,,,
Rhode Island,,Estimate,,"719,956",,,14.13,53.49,19.81,12.57,,,,,,,,,,,,,,,,,,,,
South Carolina,,Estimate,,"3,198,816",,,14.38,59.53,16.57,9.52,,,,,,,,,,,,,,,,,,,,
South Dakota,,Estimate,,"550,959",,,8.42,65.02,18.92,7.64,,,,,,,,,,,,,,,,,,,,
Tennessee,,Estimate,,"4,370,035",,,14.43,60.80,15.59,9.17,,,,,,,,,,,,,,,,,,,,
Texas,,Estimate,,"16,673,656",,,18.10,54.36,18.26,9.28,,,,,,,,,,,,,,,,,,,,
Utah,,Estimate,,"1,670,449",,,8.46,60.20,20.86,10.48,,,,,,,,,,,,,,,,,,,,
Vermont,,Estimate,,"436,174",,,8.54,55.73,21.42,14.30,,,,,,,,,,,,,,,,,,,,
Virginia,,Estimate,,"5,561,224",,,11.62,52.23,21.08,15.07,,,,,,,,,,,,,,,,,,,,
Washington,,Estimate,,"4,706,104",,,9.85,57.42,20.92,11.81,,,,,,,,,,,,,,,,,,,,
West Virginia,,Estimate,,"1,294,025",,,15.42,65.65,11.34,7.59,,,,,,,,,,,,,,,,,,,,
Wisconsin,,Estimate,,"3,879,291",,,9.09,63.21,18.35,9.35,,,,,,,,,,,,,,,,,,,,
Wyoming,,Estimate,,"383,914",,,6.47,66.96,17.77,8.80,,,,,,,,,,,,,,,,,,,,
,"Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data). The effect of nonsampling error is not represented in these tables.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"In data year 2013, there were a series of changes to data collection operations that could have affected some estimates. These changes include the addition of Internet as a mode of data collection, the end of the content portion of Failed Edit Follow-Up interviewing, and the loss of one monthly panel due to the Federal Government shut down in October 2013. For more information, see: User Notes

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"In ACS data prior to 2008, the category ""High school graduate"" includes respondents who received a GED or alternative credential as well as those who received a Regular high school diploma.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"While the 2013 American Community Survey (ACS) data generally reflect the February 2013 Office of Management and Budget (OMB) definitions of metropolitan and micropolitan statistical areas; in certain instances the names, codes, and boundaries of the principal cities shown in ACS tables may differ from the OMB ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"definitions due to differences in the effective dates of the geographic entities.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Estimates of urban and rural population, housing units, and characteristics reflect boundaries of urban areas defined based on Census 2010 data. As a result, data for urban and rural areas from the ACS do not necessarily reflect the results of ongoing urbanization.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Source: U.S. Census Bureau, 2013 American Community Survey

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Explanation of Symbols:

    1.  An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.
    2.  An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.
    3.  An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution.
    4.  An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution.
    5.  An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate.
    6.  An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate.
    7.  An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small.
    8.  An '(X)' means that the estimate is not applicable or not available.


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1501: EDUCATIONAL ATTAINMENT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 American Community Survey 1-Year Estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: This is a modified view of the original table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Supporting documentation on code lists, subject definitions, data accuracy, and statistical testing can be found on the American Community Survey website in the Data and Documentation section.

Sample size and data quality measures (including coverage rates, allocation rates, and response rates) can be found on the American Community Survey website in the Methodology section.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Although the American Community Survey (ACS) produces population, demographic and housing unit estimates, it is the Census Bureau's Population Estimates Program that produces and disseminates the official estimates of the population for the nation, states, counties, cities and towns and estimates of housing units for states and counties.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,,Subject,,Population 25 years and over,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Less Than High School Degree,At Least High school graduate (includes equivalency),Bachelor's degree,Graduate or professional degree,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hawaii County, Hawaii",,Estimate,,"132,988",,,8.2%,66.20%,18.10%,7.50%,,,,,,,,,,,,,,,,,,,,
"Honolulu County, Hawaii",,Estimate,,"666,172",,,9.4%,57.10%,22.00%,11.40%,,,,,,,,,,,,,,,,,,,,
"Kauai County, Hawaii",,Estimate,,"48,492",,,9.3%,66.00%,17.30%,7.50%,,,,,,,,,,,,,,,,,,,,
