State,Year,Percent of population in the Civilian Labor Force,Percent of population employed in Civilian Labor Force
Alabama,1976,56.6,53
Alaska,1976,68.3,63.1
Arizona,1976,59.5,53.6
Arkansas,1976,57.7,53.8
California,1976,62.5,56.7
Colorado,1976,67.1,63
Connecticut,1976,64.4,58.5
Delaware,1976,62.7,57.6
Florida,1976,55.5,50.4
Georgia,1976,63.8,58.6
Hawaii,1976,69.3,62.9
Idaho,1976,63.1,59.7
Illinois,1976,62.9,58.7
Indiana,1976,63.8,59.9
Iowa,1976,64.3,61.7
Kansas,1976,65.3,62.5
Kentucky,1976,60.3,56.9
Louisiana,1976,56.4,52.7
Maine,1976,61.6,56.4
Maryland,1976,64.4,60.1
Massachusetts,1976,64.7,58.4
Michigan,1976,61.6,55.8
Minnesota,1976,66.1,62.2
Mississippi,1976,58.5,54.6
Missouri,1976,61,57.2
Montana,1976,62,58.4
Nebraska,1976,64.7,62.6
Nevada,1976,70.9,64.6
New Hampshire,1976,66,61.6
New Jersey,1976,61.5,55.1
New Mexico,1976,60.1,54.8
New York,1976,58.2,52.2
North Carolina,1976,66.3,62.1
North Dakota,1976,62.3,60
Ohio,1976,61.7,57
Oklahoma,1976,59,55.6
Oregon,1976,63,57.2
Pennsylvania,1976,58.3,53.6
Rhode Island,1976,63.4,58.3
South Carolina,1976,64,59.5
South Dakota,1976,64.2,62
Tennessee,1976,59.8,56.1
Texas,1976,63.7,60
Utah,1976,62.9,59.3
Vermont,1976,63.7,58.2
Virginia,1976,65.5,61.6
Washington,1976,61.6,56.2
West Virginia,1976,51.1,47.3
Wisconsin,1976,65.5,61.9
Wyoming,1976,65.3,62.7
Alabama,1977,58.2,54.3
Alaska,1977,69.9,63.1
Arizona,1977,60.4,55.3
Arkansas,1977,58.7,55
California,1977,63.8,58.5
Colorado,1977,67.8,63.4
Connecticut,1977,64.9,60.3
Delaware,1977,62.6,57.7
Florida,1977,55.8,51.1
Georgia,1977,63.9,59.4
Hawaii,1977,68.7,63.4
Idaho,1977,64.8,61.2
Illinois,1977,63.7,59.8
Indiana,1977,64.5,60.8
Iowa,1977,65.5,63
Kansas,1977,66.4,63.7
Kentucky,1977,60.5,57.5
Louisiana,1977,57.6,53.6
Maine,1977,61,55.9
Maryland,1977,65.1,61.1
Massachusetts,1977,64.9,59.7
Michigan,1977,62.8,57.6
Minnesota,1977,67.1,63.5
Mississippi,1977,59.1,54.6
Missouri,1977,62.3,58.6
Montana,1977,62.5,58.8
Nebraska,1977,66.5,64.2
Nevada,1977,71.3,66.5
New Hampshire,1977,67,63.2
New Jersey,1977,62.2,56.4
New Mexico,1977,60.8,56.1
New York,1977,58.4,53
North Carolina,1977,66.7,62.8
North Dakota,1977,63.8,60.9
Ohio,1977,61.7,57.8
Oklahoma,1977,59.8,56.8
Oregon,1977,64,59.2
Pennsylvania,1977,58.7,54.1
Rhode Island,1977,63.4,58.5
South Carolina,1977,63.6,59.3
South Dakota,1977,65.2,63
Tennessee,1977,60.8,57
Texas,1977,64.5,61
Utah,1977,63.5,60.2
Vermont,1977,65,60.3
Virginia,1977,65.5,61.9
Washington,1977,62.4,57.2
West Virginia,1977,51.5,48.1
Wisconsin,1977,66.1,62.8
Wyoming,1977,67.6,65.3
Alabama,1978,59.1,55.5
Alaska,1978,70.9,63.4
Arizona,1978,59.9,56.3
Arkansas,1978,58.7,55.1
California,1978,65.1,60.5
Colorado,1978,68.1,64.4
Connecticut,1978,65.3,61.9
Delaware,1978,63.2,58.6
Florida,1978,57.1,53.2
Georgia,1978,64.6,60.9
Hawaii,1978,67.7,63.2
Idaho,1978,65.6,61.9
Illinois,1978,64.9,61
Indiana,1978,66,62.3
Iowa,1978,66.4,63.8
Kansas,1978,67.1,65
Kentucky,1978,61,57.8
Louisiana,1978,58.9,54.9
Maine,1978,60.5,56.7
Maryland,1978,66.7,62.9
Massachusetts,1978,65.4,61.3
Michigan,1978,63.8,59.3
Minnesota,1978,68,65.3
Mississippi,1978,58.9,54.7
Missouri,1978,62.8,59.7
Montana,1978,64.1,60.6
Nebraska,1978,67.3,65.3
Nevada,1978,70.8,67.4
New Hampshire,1978,67.4,64.9
New Jersey,1978,63,58.4
New Mexico,1978,61.3,57.4
New York,1978,59.2,54.6
North Carolina,1978,67.2,64.1
North Dakota,1978,64.5,61.8
Ohio,1978,62.4,59
Oklahoma,1978,60.1,58
Oregon,1978,64.9,60.9
Pennsylvania,1978,59.3,55.2
Rhode Island,1978,63.4,59.3
South Carolina,1978,62.9,59.4
South Dakota,1978,66.4,64.2
Tennessee,1978,61,57.3
Texas,1978,65.3,62.2
Utah,1978,63.4,60.9
Vermont,1978,66.3,62.7
Virginia,1978,66,62.5
Washington,1978,64,59.7
West Virginia,1978,52.5,49.4
Wisconsin,1978,67.2,64
Wyoming,1978,69,67
Alabama,1979,59.7,55.6
Alaska,1979,70.6,64.2
Arizona,1979,60.5,57.4
Arkansas,1979,59.3,55.7
California,1979,65.5,61.4
Colorado,1979,69.4,66.2
Connecticut,1979,66.3,62.9
Delaware,1979,63.9,59.3
Florida,1979,57,53.6
Georgia,1979,64.6,61.2
Hawaii,1979,66.9,63.1
Idaho,1979,66,62.2
Illinois,1979,65,61.4
Indiana,1979,66.5,62.2
Iowa,1979,66.7,63.8
Kansas,1979,67.9,65.7
Kentucky,1979,61.3,57.8
Louisiana,1979,59.2,55.4
Maine,1979,61.1,57.1
Maryland,1979,67.7,63.8
Massachusetts,1979,66,62.4
Michigan,1979,64.5,59.4
Minnesota,1979,69.1,66.1
Mississippi,1979,58.4,55.1
Missouri,1979,63.2,60.3
Montana,1979,65,61.5
Nebraska,1979,67.2,65.3
Nevada,1979,70.8,67.3
New Hampshire,1979,68,65.8
New Jersey,1979,64.3,59.9
New Mexico,1979,61.6,57.5
New York,1979,60.1,55.8
North Carolina,1979,67.1,63.8
North Dakota,1979,65,62.4
Ohio,1979,63.2,59.5
Oklahoma,1979,60.9,58.9
Oregon,1979,65.2,60.9
Pennsylvania,1979,59.8,55.7
Rhode Island,1979,64.8,60.7
South Carolina,1979,62.3,59.3
South Dakota,1979,67.2,64.9
Tennessee,1979,61.3,57.6
Texas,1979,65.7,62.8
Utah,1979,64.7,61.8
Vermont,1979,66.4,63.1
Virginia,1979,66.1,63
Washington,1979,65.4,61
West Virginia,1979,53.4,49.7
Wisconsin,1979,67.6,64.6
Wyoming,1979,69.9,68.1
Alabama,1980,59.4,54.4
Alaska,1980,71.4,64.7
Arizona,1980,61.7,57.6
Arkansas,1980,59.5,55
California,1980,65.5,61
Colorado,1980,70.6,66.4
Connecticut,1980,66.5,62.6
Delaware,1980,64.4,59.7
Florida,1980,56.4,52.9
Georgia,1980,64.5,60.5
Hawaii,1980,66.5,63.3
Idaho,1980,64.7,60.1
Illinois,1980,65.3,60
