State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
United States,34.7,35.3,36,36.9,37.6,37.9,38.3,38.7,39,39.7,39.6,40.4
Alabama ,28.8,29.1,31.6,30.8,33.8,31.7,31,31.5,32.4,32.9,32.3,33.6
Alaska ,30.4,30.2,31.9,30.4,32.4,31.1,33.6,34.8,35.1,32.1,36.7,34.6
Arizona,31.2,30.2,30.2,32.1,32.9,34.1,35.2,34.7,34.4,36.1,34,35.3
Arkansas ,23.7,24.9,28.6,25.5,26,27.3,27.1,27.7,27.5,29.1,29.4,30.3
California,34.2,33.7,35.7,36.6,36.7,36.7,37.3,37.6,37.6,38.4,38.4,38.8
Colorado,42.4,41.9,42.3,44.9,43.3,46.4,44.7,45.7,45.9,46.2,46,47.4
Connecticut,43,43.8,43.4,45.1,45.7,45.1,45,46.4,47.2,46.7,46.8,47.4
Delaware ,35.6,34.6,37.3,39.1,38.8,37.8,39.7,37.2,37,40.5,38.1,39.4
Florida,33.1,34.1,33.7,34.9,35.5,35.6,36.8,37.2,36.6,37.3,36.9,38
Georgia,33.3,32.8,32.7,34.9,34,37.7,36.4,37,37.5,37.8,36.9,37.7
Hawaii ,37.8,36.2,39.1,37.8,40,36.6,41.8,42.1,40.9,43.7,40.4,41.2
Idaho ,31.1,28.3,33.3,33.4,33.3,32.5,34.8,36.5,35.2,33.9,34.7,36.1
Illinois,38.1,39.6,39.7,40.5,42.5,42.6,42.4,42.9,43.6,44.2,43.8,44.9
Indiana,30.1,31.7,31.9,31.4,32.9,32.9,34.2,34.7,36.1,36,35.5,36.9
Iowa,36,37.7,37.8,38.3,41.4,42.2,42,43.3,43.8,44.5,44.4,45.7
Kansas ,36.8,40.3,37.6,42,43.1,40.5,40.5,41.2,42.4,41.3,42.8,42.4
Kentucky ,26.3,26.9,28.6,28.6,29,30.3,31.6,31,32,33.6,32.6,33.2
Louisiana ,24.5,25.1,25.9,27.9,28.3,27.5,27.5,26.9,27.7,30.3,30.3,30.4
Maine ,33.3,33.5,36.9,36.2,36.4,35.8,37.6,39.7,36.6,38.4,39,41
Maryland,40.4,41.8,42,43.8,42.2,43.1,45.5,44.3,44.5,45.8,45.5,46.8
Massachusetts,47.5,49.5,49.4,50.9,53.2,51,51.6,52.5,52.2,53.9,53.5,53.5
Michigan,33.3,35.5,35.6,36.6,37,37.4,37.7,38.2,38.3,38.2,38.1,38.9
Minnesota,42.2,44.8,44,46,47.2,48.1,47.8,48.2,49.3,49.2,50.1,50.7
Mississippi ,25.9,27.4,28.7,27.6,29.3,29.9,30.1,29.7,30.9,29.6,31.6,31.8
Missouri,31.9,32.3,34.4,34.4,36.2,35,36.2,36.8,37.1,38.1,38.7,39.6
Montana ,33.3,33.4,33.9,36.9,37.7,37.5,39.8,37.2,39.5,40.3,40.6,42
Nebraska ,38.1,40.6,39.6,40.1,43.9,43.9,43.3,44.4,43.2,43.8,44.8,44.3
Nevada ,24.1,23.5,23.9,24.7,27.1,26.8,27.9,28.1,28,29.2,28.4,28.3
New Hampshire ,41.1,43.6,41,44.3,43.1,45.4,46.3,46.7,48.6,46.9,46.9,47.3
New Jersey,41.1,43.7,42.2,43.3,43.1,44.8,45.6,45.2,46.2,46.6,47.6,47.3
New Mexico ,29,28,33,28.4,30.7,30.4,31.7,31,31.7,32.1,30.9,32.1
New York,40.5,40.4,42.3,43,43.9,45.5,45.2,46,46.7,48.5,47.5,48
North Carolina,33.7,33,34.3,35.9,36.4,37.4,36.6,37.3,37.1,39,38.7,39.8
North Dakota ,41.1,43.5,41.7,43.6,44.4,47.1,47.4,47.4,49.2,47.5,49.9,48.7
Ohio,32.5,33.9,33.5,35.1,34.9,35.7,35.7,37.2,37.7,38.2,38.6,38.6
Oklahoma ,28.4,27.5,28.7,29.3,30.3,31.8,31,31.2,31.6,31.1,31.8,33.8
Oregon,33.5,34,34.8,36,38.3,36.7,37.9,39.2,38.7,39.3,38.7,39.3
Pennsylvania,35.2,36.7,36.6,37.3,37,39,39.8,40.4,40.9,42.2,42.4,42.8
Rhode Island ,38,41.2,40.1,42.4,40.8,43.7,43.6,42.6,43.7,45.1,43.6,43.5
South Carolina ,30.2,32.3,31.5,31.8,34.7,33.3,32.5,34.7,34.5,35.6,35.5,35.5
South Dakota ,35.5,38.6,37.6,39,39.3,42.6,42.1,41.9,42.5,40.9,43.1,42.7
Tennessee,28.6,29.1,30.1,30.6,31.4,31,31,31.2,32.5,34.4,33.8,34.3
Texas,30.4,30.3,31.1,31.4,32.6,31.8,32.4,32.8,32.9,33,33.5,34.6
Utah,35.4,35.2,37,38,38.5,40.7,39.7,39.8,41,39.5,40.1,40.8
Vermont ,39.9,40.9,40.4,41.1,41.5,43.1,43.7,45.1,44.5,45.7,44,48.1
Virginia,39.1,40.1,40.4,41.2,41.8,42.2,43.3,43.5,43.8,44.3,45.9,47.4
Washington,38.2,39,40.6,40.6,42.6,41.7,43.1,42.9,41.7,42.6,42.7,43.5
West Virginia ,23.1,22.6,25,26,25.6,26.7,27.8,28,27.9,28.3,28.9,31.5
Wisconsin,35.9,36.4,36.4,37.1,39,39.9,40.5,40.5,41.2,41,41.8,42.4
Wyoming ,32,30.5,32.2,34.2,34.7,32.5,34.4,36.1,36.1,34.6,37.3,37.9
