State,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,0.3100%,0.2700%,0.1200%,0.200%,0.2300%,0.2300%,0.1900%,0.0900%,0.300%,0.1700%,0.2500%,0.100%,0.2100%,0.2100%,0.2500%,0.2600%,0.2300%,0.2500%
Alaska,0.6200%,0.6100%,0.5300%,0.4100%,0.6600%,0.4300%,0.4800%,0.4800%,0.4500%,0.400%,0.2500%,0.3700%,0.4400%,0.3400%,0.4300%,0.4100%,0.4300%,0.4700%
Arizona,0.3700%,0.4300%,0.4100%,0.1800%,0.400%,0.4600%,0.300%,0.3300%,0.3300%,0.3200%,0.300%,0.4600%,0.4900%,0.4600%,0.3300%,0.5200%,0.3400%,0.2200%
Arkansas,0.2500%,0.4500%,0.2400%,0.3200%,0.3400%,0.3700%,0.1800%,0.300%,0.4100%,0.4700%,0.3700%,0.3400%,0.3900%,0.3600%,0.3700%,0.3400%,0.2800%,0.2100%
California,0.3500%,0.3400%,0.3400%,0.3600%,0.2800%,0.2800%,0.400%,0.3800%,0.3900%,0.3200%,0.3500%,0.400%,0.4400%,0.4100%,0.4700%,0.4400%,0.4100%,0.400%
Colorado,0.5400%,0.300%,0.4800%,0.4200%,0.3400%,0.4500%,0.3900%,0.400%,0.3500%,0.5300%,0.2800%,0.3400%,0.4300%,0.3800%,0.4500%,0.4200%,0.3700%,0.3800%
Connecticut,0.3500%,0.1500%,0.1300%,0.300%,0.1800%,0.3600%,0.1800%,0.1600%,0.2300%,0.2700%,0.2900%,0.2100%,0.300%,0.2900%,0.2400%,0.3400%,0.3200%,0.2800%
Delaware,0.2900%,0.2400%,0.1600%,0.1300%,0.2500%,0.1300%,0.1300%,0.1700%,0.1500%,0.1600%,0.1900%,0.1400%,0.200%,0.300%,0.2200%,0.2700%,0.2700%,0.2800%
District of Co,0.2600%,0.2800%,0.2900%,0.1400%,0.4100%,0.2400%,0.3400%,0.2200%,0.1900%,0.2400%,0.2900%,0.4600%,0.2900%,0.3200%,0.3100%,0.300%,0.2600%,0.2900%
Florida,0.3800%,0.3200%,0.300%,0.300%,0.3100%,0.2700%,0.300%,0.2900%,0.300%,0.2800%,0.3400%,0.3600%,0.3700%,0.4400%,0.400%,0.3800%,0.3600%,0.3400%
Georgia,0.3900%,0.2200%,0.3200%,0.2600%,0.2700%,0.2300%,0.2200%,0.3300%,0.3700%,0.3300%,0.4400%,0.400%,0.5900%,0.4400%,0.5100%,0.3500%,0.2700%,0.2400%
