State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
United States,7694420,8199564,8736086,9010778,9289355,9706888,10345571,11037057,11709405,12268770,12437148,12056679,12532288,13081829
Alabama ,89688,94636,98012,101748,105393,109983,119924,127560,134131,138759,142319,137334,143342,148510
Alaska ,18253,18756,20603,22208,22931,24610,27722,30608,34059,36543,41215,36091,38855,41756
Arizona,121682,132241,142057,148971,154644,164948,175145,194529,215927,227144,227312,212116,214130,222442
Arkansas ,54170,58103,59732,62027,64650,67765,72738,76401,80964,84179,86475,84965,88126,91227
California,992233,1083620,1180330,1190581,1228419,1292559,1393440,1503700,1603109,1661631,1679822,1597907,1624955,1687543
Colorado,124775,137066,152779,160347,164035,168372,176727,190902,202993,214360,221628,213419,221299,230650
Connecticut,131060,136154,149368,152898,152783,157598,170656,178337,190578,200221,197412,196194,201049,204211
Delaware ,32690,34469,37153,40005,39646,43170,46179,49638,51333,54315,52417,54494,56908,58313
District of Columbia,32595,35886,38026,41378,43991,46981,50894,54018,57397,61609,64856,64297,67025,69787
Florida,368555,395997,422927,445856,471801,505135,546865,608013,654411,672819,657126,627024,632372,650652
Georgia,223563,244852,259144,267990,274349,282622,298813,316001,330692,346754,349592,337182,343518,358180
Hawaii ,29674,30725,32712,33397,34842,37464,40744,44499,47688,50048,51015,49198,51056,52975
Idaho ,25225,28052,31157,31084,32099,33553,37760,41971,43450,46929,47446,46439,47869,49304
Illinois,388830,407600,430233,440581,448759,462519,489681,513769,544055,567846,570159,560365,574715,601979
Indiana,162896,169764,179123,180282,188297,198222,209634,216092,220584,236466,234226,224880,242589,256124
Iowa,74206,77177,82719,83002,87027,92366,102854,106552,109971,119402,118437,118457,121990,129407
Kansas ,66969,69959,74106,77240,78823,82601,85220,90082,95821,103562,106296,103290,107121,114751
Kentucky ,93475,98228,97649,100203,104272,107339,112709,118191,124402,127462,129011,126605,134256,140036
Louisiana ,105343,108597,114715,120435,120535,135898,150274,174791,182648,185993,191490,179257,201186,211357
Maine ,27716,29547,31523,32916,34455,35682,38288,39183,41042,42249,42381,42791,43975,45163
Maryland,133318,142577,151665,162500,170942,179234,191875,204972,215095,224840,231460,232872,241853,248615
Massachusetts,214438,228268,249400,257702,262342,271210,282934,294299,307528,321225,328809,326364,341540,352398
Michigan,273346,290658,302874,301664,314483,324023,325701,333465,333606,343213,323931,303239,321084,339886
Minnesota,147742,156300,169659,173971,180347,190376,204125,213674,219748,227539,234787,229418,240577,251930
Mississippi ,50999,53265,54560,56068,57354,60851,63887,66961,71207,76125,78398,74949,77930,79490
Missouri,146619,153383,160255,163803,169681,176459,183850,190694,196615,204489,211245,206285,211961,217573
Montana ,16761,17268,17884,19184,19660,21217,23169,25180,27064,29644,30122,29102,30390,32709
Nebraska ,44705,46631,49726,51532,52606,57256,60204,62883,66099,71611,73993,74875,78398,83460
Nevada ,57375,63530,68356,71072,74317,79858,90483,103786,112123,120558,118527,109471,110983,115577
New Hampshire ,35397,37065,40390,40680,42467,44203,46577,48664,50826,52204,52390,52744,54595,56693
New Jersey,280799,294899,316295,329143,339161,352625,368405,385797,408330,421394,430063,419163,428801,439353
New Mexico ,37692,39592,40593,41609,42298,45919,51340,54389,57760,60450,62519,60054,62462,64097
New York,615511,654572,690001,726643,736834,751801,794061,856451,923574,963221,962660,960526,1012114,1045302
North Carolina,212171,233427,247098,256039,264554,270891,284484,308495,328722,343205,349454,352472,364161,371955
North Dakota ,14356,14478,15295,16005,17048,18692,19493,20761,21956,24376,27731,27660,30493,34991
Ohio,314315,326161,341368,341402,354368,364083,381293,395594,403379,416135,412784,397638,410126,434407
Oklahoma ,66912,70361,75724,80579,81214,86473,93142,99799,109859,116581,127929,115040,121498,129709
Oregon,88578,90745,99119,97526,102315,106109,119403,125806,141073,147629,154349,150500,159857,166817
Pennsylvania,327616,343214,357735,367480,382518,397398,415663,434159,457197,479421,490638,484166,502027,524349
Rhode Island ,25716,27112,29332,31263,33423,35598,37664,38717,40777,41329,41043,41274,42034,42800
South Carolina ,88075,93639,97848,101790,105199,110135,113158,118795,124815,132037,131672,129564,133824,139836
South Dakota ,18158,19235,20856,21906,24137,25236,26688,27526,28132,30653,32848,32368,33278,36560
Tennessee,144135,152846,157986,163834,171105,178364,190401,198431,208571,214808,218265,215695,222619,232226
Texas,563178,594932,650070,677945,691470,727815,802553,860612,940631,1025172,1079181,1002029,1082745,1174548
Utah,52651,55583,59904,62231,63862,66439,70691,77909,86675,94252,98604,97434,102517,108306
Vermont ,14070,14852,15851,16466,17089,17822,18992,19698,20432,20758,20964,20804,22135,22821
Virginia,185322,201559,216807,232954,240475,253903,271260,294255,308886,319843,324688,328522,344319,353751
Washington,172015,192170,197841,199011,203546,211746,220942,239762,257173,280185,285311,281604,291141,304420
West Virginia ,32942,34431,34462,35755,36837,37667,39980,42418,44991,46380,47816,48666,51056,54212
Wisconsin,143620,152188,158691,163999,169799,176306,187099,195744,204541,211878,210171,210402,218090,225709
Wyoming ,12290,13194,14373,15873,16153,17792,19787,22524,26765,29324,34161,29474,31344,32962
