State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
United States,522,505,536,541,530,527,516,522,530,545,541,601,669,736,789,825,748,859,862,938,989,940
Alabama ,1013,1045,1189,1161,953,987,1093,1088,978,873,808,1207,1371,1614,1512,1515,1030,1068,1355,1537,1765,2658
Alaska ,361,402,354,342,565,344,327,345,365,387,518,843,983,1285,1466,1544,641,800,667,738,706,600
Arizona,349,301,364,291,405,431,329,333,436,474,479,767,907,927,998,1086,725,836,841,1028,1232,1067
Arkansas ,82,82,64,72,77,83,126,81,83,89,96,154,117,122,120,130,121,138,112,136,146,148
California,1137,1040,1153,1078,806,896,885,929,804,1002,925,802,1186,1245,1178,1203,1258,1591,1180,1502,1695,1464
Colorado,1125,1581,848,733,694,514,613,622,600,634,608,630,750,742,864,922,798,1083,1026,1475,1756,1589
Connecticut,295,394,341,310,439,543,481,505,415,386,475,810,1656,1219,1246,1396,912,1202,1026,1271,1264,1454
Delaware ,82,122,124,159,140,158,174,129,118,135,173,207,201,236,220,226,256,306,341,521,321,282
District of Columbia,5109,6526,7532,8650,8708,10065,9687,8495,8251,8512,8369,9684,11052,10462,11544,13937,13469,13892,56226,13882,12515,10372
Florida,387,360,462,441,447,360,434,472,381,309,302,364,332,367,408,312,270,461,265,396,386,309
Georgia,116,149,789,926,1625,1239,1137,1045,892,512,648,836,539,511,449,499,278,368,305,398,358,342
Hawaii ,186,206,273,203,252,250,263,266,289,345,401,739,733,699,816,984,550,612,563,638,645,694
Idaho ,698,586,606,588,412,372,421,344,346,323,344,325,364,334,433,417,414,395,493,552,689,656
Illinois,172,175,166,171,189,189,185,190,192,214,242,299,290,327,315,353,317,339,347,456,444,504
Indiana,135,142,136,183,139,143,147,136,125,136,168,188,179,191,186,187,182,194,220,367,348,316
Iowa,134,149,135,146,148,139,138,147,152,169,177,230,296,325,351,313,312,413,394,413,580,450
Kansas ,96,68,73,70,66,93,162,192,115,141,166,228,215,197,208,257,151,225,212,286,249,266
Kentucky ,59,75,43,51,52,42,44,50,118,79,136,200,175,133,136,158,126,115,132,172,155,131
Louisiana ,69,91,95,88,118,93,123,112,117,114,129,143,229,239,232,229,169,217,207,207,172,319
Maine ,66,97,102,111,139,88,92,110,168,235,384,693,393,256,322,444,340,568,253,286,253,279
Maryland,2163,2259,2326,2894,2616,2854,2573,2770,2994,3011,3238,3493,2715,2928,4566,4425,4321,4126,4602,5603,5609,5633
Massachusetts,987,1079,1113,1208,1071,1102,1035,1088,970,964,1391,1374,1517,1711,1861,2047,1875,2298,2100,2591,2744,2422
Michigan,190,186,207,201,171,149,152,155,157,171,203,245,265,362,238,250,356,369,410,571,605,515
Minnesota,233,198,195,186,192,225,265,234,303,329,293,327,419,315,302,279,446,501,503,569,387,350
Mississippi ,435,213,233,231,221,178,211,241,231,287,334,338,517,963,1298,359,453,356,359,315,358,509
Missouri,433,238,293,286,867,597,464,407,334,329,315,323,439,480,1086,1474,424,422,387,436,418,433
Montana ,81,119,183,174,139,153,149,186,186,217,236,306,255,291,414,393,315,1346,328,364,301,390
Nebraska ,96,94,87,94,100,96,99,92,93,103,113,157,167,180,224,206,170,242,213,233,254,273
Nevada ,779,763,688,569,455,458,299,330,314,285,269,346,321,383,492,506,346,258,249,407,317,399
New Hampshire ,248,345,274,410,368,352,435,439,414,438,530,697,459,754,614,737,525,476,412,602,505,584
New Jersey,414,450,444,382,366,337,324,327,361,650,479,407,512,508,549,600,496,514,515,593,694,637
New Mexico ,3482,3023,3250,3298,2611,2632,2600,2515,2414,2608,2729,3521,3495,3697,3957,4148,3496,3848,3872,4081,3875,4122
New York,355,380,383,317,332,318,304,294,300,311,342,404,438,504,511,595,577,590,510,693,639,601
North Carolina,185,202,208,209,209,232,222,236,240,257,268,356,354,407,418,438,414,427,414,491,520,495
North Dakota ,173,143,178,163,152,143,138,158,155,178,191,232,314,319,320,343,321,326,274,284,331,320
Ohio,411,343,367,374,330,340,313,345,1014,666,388,548,433,540,508,535,432,652,465,719,778,681
Oklahoma ,113,92,88,81,97,106,91,104,112,104,144,201,172,357,310,246,159,152,156,213,259,283
Oregon,123,152,156,154,181,179,190,193,208,240,273,305,296,303,294,373,282,278,318,360,383,408
Pennsylvania,377,391,329,466,359,431,339,328,326,328,411,472,553,688,637,617,536,555,537,698,848,768
Rhode Island ,792,903,799,1022,903,1078,1190,801,757,755,803,840,954,1061,1221,1668,1132,1153,1220,1344,1326,1227
South Carolina ,141,151,103,102,115,99,105,92,102,115,130,171,203,245,204,256,188,210,227,341,345,266
South Dakota ,47,66,69,76,73,71,92,109,118,99,98,137,146,134,170,169,180,145,178,189,178,147
Tennessee,364,323,287,282,267,226,214,214,231,252,299,381,426,414,503,513,510,658,592,745,758,783
Texas,435,285,346,298,416,453,381,387,428,395,305,319,351,529,530,492,489,613,454,520,612,514
Utah,558,529,371,335,344,377,350,309,371,282,279,380,411,705,1004,860,574,746,526,765,1364,1402
Vermont ,144,195,176,208,161,173,152,158,179,190,220,341,411,607,1248,780,308,318,354,452,422,372
Virginia,888,937,1027,1065,1141,1023,1407,1459,1380,1671,1417,1412,1721,1840,1964,2312,2300,2334,2335,2363,2372,2199
Washington,651,521,368,351,376,429,425,434,432,448,464,602,703,838,771,859,1280,1470,1321,1265,1236,1575
West Virginia ,169,258,241,296,299,398,346,259,322,298,308,496,339,516,423,1057,388,283,292,350,424,353
Wisconsin,109,118,120,133,132,122,118,116,116,131,145,168,208,230,225,226,217,228,225,310,282,266
Wyoming ,257,133,184,210,155,147,155,116,135,140,137,143,153,166,181,140,131,130,165,228,131,132
