State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
United States,17.7,16.6,14.3,16.6,14.2,13.4,14.2,19.4,18.7,20.3
Alabama ,7,6.5,5.1,5.4,4.3,4.1,4.4,6.5,5,5.7
Alaska ,3.5,3.7,3.1,3.4,1.5,1.5,2.6,1.8,1.7,1.7
Arizona,17.2,17,15.1,17.4,15.3,15.5,15.2,19.2,17.9,18.9
Arkansas ,7.1,6,5.1,5.6,4,3.7,3.1,4.9,4.6,6
California,29.1,28.1,25.1,30.5,26,24.2,26,36,35.2,39.1
Colorado,16.7,16.6,14.7,15.8,12.6,11,11.6,14.9,14.5,16.4
Connecticut,20.5,19,18.1,20.8,17.2,16.9,17.9,25,25.3,26.9
Delaware ,19.9,19,17.7,16.6,14.9,14.6,14,17.5,18.6,19
District of Columbia,0.9,1.3,0.9,1,1,1.1,0.9,1.4,1.5,2.1
Florida,11.6,10.7,9.5,10.6,9.7,8.2,8.9,12.4,12.8,14.8
Georgia,9.2,9.4,8.8,10.9,9.6,9.1,NA,13.1,13.1,14.3
Hawaii ,4.7,4.6,2.9,4.4,3.4,4.1,3.7,6.2,5,5.2
Idaho ,81.4,80,64,NA,55.5,49.8,40,45.4,39.8,36.8
Illinois,15.6,14.4,12.4,14.8,12.9,12.2,13.1,18.3,18.6,19.7
Indiana,17.7,16.2,13.9,14.5,13.7,10.8,12.1,16.4,15.3,18.4
Iowa,17.8,16.8,13.9,15.3,13.2,12.1,14.2,17.3,16.6,16.8
Kansas ,8.2,8.6,7.4,10.1,8.5,7.8,7.7,12.6,13.7,19.7
Kentucky ,9.7,9.2,7.8,9.2,8.7,NA,7.2,11,9.4,10.5
Louisiana ,9.3,8.1,6.6,8,6.8,6.2,5.9,6.9,7.2,7.9
Maine ,10,8.8,9.7,8.9,6.9,6.6,6.6,12.1,10.5,11.8
Maryland,9.7,8.5,7.4,8.8,7.7,7.4,7.5,9.5,8.7,9
Massachusetts,21.2,19.7,16.1,20.2,17.1,16.2,17,23.7,23.5,25
Michigan,21.1,20.5,17.5,18,14.8,14.7,15.9,21.7,21,23.2
Minnesota,25.2,23.1,20.1,23.5,19.7,18.9,19.6,28.8,29.6,29.6
Mississippi ,7.3,5.9,4.9,4.8,5.6,3.7,4.8,6.1,6.3,5.9
Missouri,9.8,8.8,6.8,7.5,6.9,5.8,6.8,9.5,8.2,9.3
Montana ,10.6,10.4,8.5,9.3,8.3,NA,5.1,7.2,6.4,7.7
Nebraska ,6,6,5.8,5.7,6.5,6,6.1,6.9,6.2,8.4
Nevada ,17.4,17.1,15.7,14.3,13.6,13.7,12.3,20.1,19.5,27.9
New Hampshire ,28.9,25.7,18.6,21.7,19.1,16.4,17.7,24.8,24.7,25.4
New Jersey,21.8,17.9,14.7,18,14.5,13.7,14.5,20.9,21.1,23.3
New Mexico ,11.6,11,8.1,11.2,8.6,8.1,8.2,12,11,11.8
New York,22.9,21.4,16.3,18.3,15.5,15,16.6,NA,22.4,23.8
North Carolina,14.1,13.3,12,14.2,12.2,12,12.7,17,16.1,17.7
North Dakota ,6.5,6.3,8.2,7.1,8.5,6.7,8.3,9.7,7,7.3
Ohio,18,16,12.8,14.2,11.5,10.8,11.3,16.5,15.3,NA
Oklahoma ,11.6,NA,8.7,10.7,9.1,8.5,8.8,11.7,10.3,9.3
Oregon,27.2,27.6,26.1,31.9,27.6,25.4,25.6,NA,NA,27.2
Pennsylvania,17.1,14.7,11.2,13.2,11.4,10.6,NA,NA,NA,NA
Rhode Island ,14.2,15.7,14.5,14.9,14.3,12.1,12.7,15.2,15.7,16.3
South Carolina ,11.7,10.3,9.1,10.8,7.6,6.8,8,9.2,10.8,13.5
South Dakota ,8.7,8.7,7,7.3,5.2,4.5,4,6.3,8.1,9.4
Tennessee,12.5,10.5,8.8,10,8.7,8.1,9.4,12.9,12.5,11.6
Texas,16.5,15.5,13.5,15.4,13,12.3,12.6,16.7,16.2,16.9
Utah,14,15.9,12.3,13.8,12.4,12.2,14.9,20,20.8,21.3
Vermont ,37.6,34,28.7,34.2,37,35.4,35.4,50.7,38.5,37.8
Virginia,5.3,4.9,4,4.3,3.9,4,4.1,6.2,6,6.2
Washington,15.2,14.4,14.2,19.1,17.6,NA,21.9,28.2,24.2,NA
West Virginia ,8.6,6.2,5.7,6,6.4,4.4,5.6,6.9,5.1,6.8
Wisconsin,19.1,17.4,15.9,17.4,14.2,13.3,14.5,18.3,17.4,17.3
Wyoming ,11.6,7.7,7.2,6.3,6.7,4,6.6,9.9,7.7,13.8
