[ID],Year,Institution,insttype,state,medschl,PROGYEAR,COUNTRY,Lic FTEs,Oth FTEs,Tot Res Exp,Fed Res Exp,Ind Res Exp,Lic Iss,Opt Iss,Tot Discl Lic,Excl Lic/Opt.,Non-Excl Lic/Opt,Excl Lic Lg Co,Non-Excl Lic Lg Co,Excl Lic Sm Co,Non-Excl Lic Sm Co,Excl Lic St-Ups,Non-Excl St-Ups,Lic w Equ,Act Lic,Tot Lic St-Ups,Tot Lic Sm Co,Tot Lic Lg Co,Res Fnd from Lic,Lic Gen Inc,Lic Gen Run Roy,Lic $1mm+,Tot Lic/Opt Exe,Gross Lic Inc,Lic Inc Run Roy,Lic Inc Equ,Lic Inc Other,Lic Inc Pd Oth,Leg Fees,Reimb Leg Fee,Inv Dis Rec,Inv Dis Cld,Cum Inv Dis Cld,Inact Inv Dis,Techn Lic,Tot Pat App Fld,New Pat App Fld,For. Pat App Fld,Pro Pat App Fld,Util Pat App Fld,Iss US Pat,St-Ups Formed,St-Ups No Fnd,St-Ups Inst Fnd,St-Ups SBIR Fnd,St-Ups F&F Fnd,St-Ups Angl Fnd,St-Ups Angl Netw Fnd,St-Ups State Fnd,St-Ups VC Fnd,St-Ups Corp Fnd,St-Ups Oth Fnd,St-Ups in Home St,St-Ups Cld,Cum Op St-Ups,St-Ups w Equ,New Prod
95008,1991,Ball State University,5U,IN,NO,1988,, , ,"$6,618,000 ","$2,110,000 ","$2,863,500 ",,,,,,,,,,,,,,,,, ,4,,,1,"$56,300 ", , , , , , ,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,
95010,1991,Baylor College of Medicine,5U,TX,YES,1984,, , ,"$153,000,000 ","$82,000,000 ","$11,360,000 ",,,,,,,,,,,,,,,,, ,19,,,14,"$912,000 ", , , , , , ,47,,,,,18,18,,,,,,,,,,,,,,,,,,,,
95018,1991,Brigham Young University,5U,UT,NO,1987,, , ,"$15,100,000 ","$6,800,000 ","$8,300,000 ",,,,,,,,,,,,,,,,, ,31,,,8,"$689,200 ", , , , , , ,18,,,,,8,8,,,,,,,,,,,,,,,,,,,,
95023,1991,CA Pacific Medical Ctr. Res. Inst.,4HRI,CA,NO,,, , , , , ,,,,,,,,,,,,,,,,, ,0,,,0,$0 , , , , , , ,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,
95026,1991,Carleton University,3CN,,NO,1986,CANADA, , ,"$13,666,667 ", ,"$833,333 ",,,,,,,,,,,,,,,,, ,2,,,2,"$5,000 ", , , , , , ,15,,,,,0,0,,,,,,,,,,,,,,,,,,,,
95029,1991,Case Western Reserve University,5U,OH,YES,1986,, , ,"$106,200,000 ","$85,700,000 ","$16,400,000 ",,,,,,,,,,,,,,,,, ,9,,,7,"$613,000 ", , , , , , ,38,,,,,12,12,,,,,,,,,,,,,,,,,,,,
95031,1991,Center for Innovative Technology,2PMF,VA,NO,1985,, , ,"$1,600,000 ", ,"$1,600,000 ",,,,,,,,,,,,,,,,, ,17,,,10,"$76,500 ", , , , , , ,100,,,,,35,29,,,,,,,,,,,,,,,,,,,,
95033,1991,Children's Hospital of Philadelphia,4HRI,PA,NO,,, , ,"$16,300,000 ","$12,800,000 ","$3,500,000 ",,,,,,,,,,,,,,,,, ,0,,,0,$0 , , , , , , ,15,,,,,8,6,,,,,,,,,,,,,,,,,,,,
95036,1991,Children's Hospital Oakland,4HRI,CA,NO,,, , ,"$9,800,000 ","$5,700,000 ","$200,000 ",,,,,,,,,,,,,,,,, ,2,,,1,"$5,818 ", , , , , , ,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,
95038,1991,City of Hope National Medical Ctr.,4HRI,CA,NO,1986,, , ,"$33,000,000 ","$10,000,000 ","$700,000 ",,,,,,,,,,,,,,,,, ,14,,,,"$18,783,446 ", , , , , , ,21,,,,,30,12,,,,,,,,,,,,,,,,,,,,
95040,1991,Clemson University,5U,SC,NO,1990,, , ,"$33,599,166 ","$22,184,116 ","$7,605,379 ",,,,,,,,,,,,,,,,, ,2,,,1,"$1,507,423 ", , , , , , ,16,,,,,4,3,,,,,,,,,,,,,,,,,,,,
95044,1991,CO State University,5U,CO,NO,1941,, , ,"$92,000,000 ","$77,200,000 ","$14,800,000 ",,,,,,,,,,,,,,,,, ,20,,,5,"$166,713 ", , , , , , ,50,,,,,9,7,,,,,,,,,,,,,,,,,,,,
95045,1991,Columbia University,5U,NY,YES,1982,, , ,"$202,400,000 ","$162,710,000 ","$6,190,000 ",,,,,,,,,,,,,,,,, ,83,,,26,"$11,431,746 ", , , , , , ,67,,,,,17,17,,,,,,,,,,,,,,,,,,,,
95047,1991,Concordia University,3CN,,NO,1988,CANADA, , ,"$12,671,095 ","$7,341,017 ","$1,131,558 ",,,,,,,,,,,,,,,,, ,0,,,0,$0 , , , , , , ,7,,,,,1,1,,,,,,,,,,,,,,,,,,,,
95048,1991,Cornell Research Fndtn. Inc.,5U,NY,YES,1979,, , , , , ,,,,,,,,,,,,,,,,, ,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
95052,1991,Dana-Farber Cancer Institute,4HRI,MA,NO,1981,, , ,"$66,190,000 ","$49,887,000 ","$10,056,000 ",,,,,,,,,,,,,,,,, ,7,,,3,"$2,164,856 ", , , , , , ,54,,,,,42,32,,,,,,,,,,,,,,,,,,,,
95053,1991,Dartmouth College,5U,NH,YES,1985,, , ,"$56,047,222 ","$43,071,031 ","$3,064,298 ",,,,,,,,,,,,,,,,, ,9,,,1,"$87,000 ", , , , , , ,11,,,,,10,3,,,,,,,,,,,,,,,,,,,,
95060,1991,FL Atlantic University,5U,FL,NO,1991,, , ,"$11,525,696 ","$5,131,821 ","$1,563,508 ",,,,,,,,,,,,,,,,, ,1,,,4,"$50,000 ", , , , , , ,6,,,,,4,4,,,,,,,,,,,,,,,,,,,,
95064,1991,Fred Hutchinson Cancer Res. Ctr.,4HRI,WA,NO,1985,, , ,"$92,300,000 ","$47,300,000 ","$1,098,337 ",,,,,,,,,,,,,,,,, ,18,,,14,"$307,301 ", , , , , , ,29,,,,,19,13,,,,,,,,,,,,,,,,,,,,
95067,1991,Georgia Institute of Technology,5U,GA,NO,1990,, , ,"$133,335,147 ","$118,697,531 ","$14,637,616 ",,,,,,,,,,,,,,,,, ,15,,,25,"$1,820,188 ", , , , , , ,71,,,,,20,18,,,,,,,,,,,,,,,,,,,,
95070,1991,Harvard University,5U,MA,YES,1977,, , ,"$275,000,000 ","$199,000,000 ","$12,000,000 ",,,,,,,,,,,,,,,,, ,80,,,38,"$2,300,000 ", , , , , , ,75,,,,,54,25,,,,,,,,,,,,,,,,,,,,
95074,1991,Houston Advanced Research Center,4HRI,TX,NO,1988,, , ,"$10,705,077 ","$4,413,069 ","$1,953,152 ",,,,,,,,,,,,,,,,, ,1,,,2,"$10,000 ", , , , , , ,4,,,,,5,3,,,,,,,,,,,,,,,,,,,,
95082,1991,Indiana University,5U,IN,YES,1991,, , ,"$145,609,359 ","$82,005,892 ","$7,384,341 ",,,,,,,,,,,,,,,,, ,13,,,5,"$103,000 ", , , , , , ,21,,,,,5,5,,,,,,,,,,,,,,,,,,,,
95088,1991,Johns Hopkins University,5U,MD,YES,1973,, , ,"$703,378,849 ","$644,214,734 ","$15,775,638 ",,,,,,,,,,,,,,,,, ,65,,,31,"$1,581,755 ", , , , , , ,180,,,,,,35,,,,,,,,,,,,,,,,,,,,
95096,1991,Massachusetts General Hospital,4HRI,MA,NO,1976,, , ,"$128,036,341 ","$76,498,599 ","$30,627,600 ",,,,,,,,,,,,,,,,, ,8,,,20,"$866,965 ", , , , , , ,98,,,,,91,44,,,,,,,,,,,,,,,,,,,,
95097,1991,Massachusetts Inst. of Technology (MIT),5U,MA,NO,1950,, , ,"$286,000,000 ","$238,000,000 ","$48,000,000 ",,,,,,,,,,,,,,,,, ,141,,,70,"$3,680,000 ", , , , , , ,240,,,,,155,91,,,,,,,,,,,,,,,,,,,,
95098,1991,Mayo Foundation,4HRI,MN,YES,1985,, , ,"$56,802,700 ","$41,650,600 ","$15,152,100 ",,,,,,,,,,,,,,,,, ,56,,,18,"$1,983,490 ", , , , , , ,67,,,,,6,6,,,,,,,,,,,,,,,,,,,,
95102,1991,Medical College of PA,5U,PA,YES,1990,, , ,"$19,270,000 ", , ,,,,,,,,,,,,,,,,, ,0,,,0,$0 , , , , , , ,5,,,,,1,1,,,,,,,,,,,,,,,,,,,,
95107,1991,Michigan State University,5U,MI,YES,,, , ,"$146,825,186 ","$74,305,251 ","$7,170,263 ",,,,,,,,,,,,,,,,, ,25,,,6,"$11,411,597 ", , , , , , ,28,,,,,15,6,,,,,,,,,,,,,,,,,,,,
95109,1991,Mississippi State University,5U,MS,NO,,, , ,"$39,246,575 ","$31,519,871 ","$3,424,479 ",,,,,,,,,,,,,,,,, ,,,,0, , , , , , , ,2,,,,,0,0,,,,,,,,,,,,,,,,,,,,
95112,1991,Mount Sinai Hospital,3CN,,NO,1989,CANADA, , ,"$12,666,667 ","$5,000,000 ","$1,500,000 ",,,,,,,,,,,,,,,,, ,4,,,4,"$31,148 ", , , , , , ,7,,,,,5,4,,,,,,,,,,,,,,,,,,,,
95115,1991,New England Medical Center,4HRI,MA,NO,1988,, , ,"$35,800,000 ","$21,600,000 ","$12,300,000 ",,,,,,,,,,,,,,,,, ,5,,,5,"$156,000 ", , , , , , ,13,,,,,7,7,,,,,,,,,,,,,,,,,,,,
95116,1991,New Jersey Institute of Technology,5U,NJ,NO,,, , ,"$14,741,019 ","$5,241,536 ","$2,033,516 ",,,,,,,,,,,,,,,,, ,0,,,0,$0 , , , , , , ,12,,,,,0,0,,,,,,,,,,,,,,,,,,,,
95119,1991,New York Blood Center,4HRI,NY,NO,1986,, , ,"$14,616,000 ","$3,148,000 ","$513,000 ",,,,,,,,,,,,,,,,, ,25,,,8,"$13,220,755 ", , , , , , ,8,,,,,5,3,,,,,,,,,,,,,,,,,,,,
95123,1991,North Carolina State University,5U,NC,NO,1982,, , ,"$69,486,087 ","$46,728,396 ","$22,757,691 ",,,,,,,,,,,,,,,,, ,8,,,15,"$818,194 ", , , , , , ,76,,,,,27,17,,,,,,,,,,,,,,,,,,,,
