[ID],Year,Institution,state,St-Ups Formed
95183,2010,Univ. of Alaska,AK,
20100285,2011,University of Alaska,AK,0
20120292,2012,University of Alaska Anchorage,AK,0
95182,1991,Univ. of AL/Birmingham,AL,
95182,1992,Univ. of AL/Birmingham,AL,
95182,1993,Univ. of AL/Birmingham,AL,
95181,1994,Univ. of AL in Huntsville,AL,0
95182,1994,Univ. of AL/Birmingham,AL,1
95241,1994,Univ. of South AL,AL,0
95007,1995,Auburn University,AL,0
95181,1995,Univ. of AL in Huntsville,AL,0
95182,1995,Univ. of AL/Birmingham,AL,4
95241,1995,Univ. of South AL,AL,0
95007,1996,Auburn University,AL,0
95182,1996,Univ. of Alabama/Birmingham,AL,3
95241,1996,Univ. of South Alabama,AL,0
95007,1997,Auburn University,AL,1
95182,1997,Univ. of Alabama/Birmingham,AL,5
95241,1997,Univ. of South Alabama,AL,0
95007,1998,Auburn University,AL,0
95182,1998,Univ. of Alabama/Birmingham,AL,6
95007,1999,Auburn University,AL,0
95182,1999,Univ. of Alabama/Birmingham,AL,2
95241,1999,Univ. of South Alabama,AL,0
95007,2000,Auburn University,AL,0
95182,2000,Univ. of Alabama/Birmingham,AL,5
95241,2000,Univ. of South Alabama,AL,3
95007,2001,Auburn University,AL,4
95182,2001,Univ. of Alabama Birmingham Research Fdn.,AL,
95241,2001,Univ. of South Alabama,AL,0
95007,2002,Auburn Univ.,AL,4
95182,2002,The UAB Research Fdn.,AL,
95241,2002,Univ. of South Alabama,AL,0
95007,2003,Auburn Univ.,AL,2
95182,2003,The UAB Research Fdn.,AL,
95241,2003,Univ. of South Alabama,AL,0
95007,2004,Auburn Univ.,AL,2
95182,2004,The UAB Research Fdn.,AL,
95181,2004,Univ. of Alabama in Huntsville,AL,2
95241,2004,Univ. of South Alabama,AL,
95007,2005,Auburn Univ.,AL,2
95182,2005,The UAB Research Fdn.,AL,2
95181,2005,Univ. of Alabama in Huntsville,AL,2
95241,2005,Univ. of South Alabama,AL,0
95007,2006,Auburn Univ.,AL,0
95182,2006,The UAB Research Fdn.,AL,1
95241,2006,Univ. of South Alabama,AL,0
20070261,2006,University of Alabama,AL,0
95007,2007,Auburn Univ.,AL,2
95182,2007,The UAB Research Fdn.,AL,0
95181,2007,Univ. of Alabama in Huntsville,AL,1
95241,2007,Univ. of South Alabama,AL,0
20070261,2007,University of Alabama,AL,4
95007,2008,Auburn Univ.,AL,1
95182,2008,The UAB Research Fdn.,AL,1
