Year,Labor Force Participation,Employment Rate
1976,61.6,56.8
1977,62.3,57.9
1978,63.2,59.3
1979,63.7,59.9
1980,63.8,59.2
1981,63.9,59
1982,64.0,57.8
1983,64.0,57.9
1984,64.4,59.5
1985,64.8,60.1
1986,65.3,60.7
1987,65.6,61.5
1988,65.9,62.3
1989,66.5,63
1990,66.5,62.8
1991,66.2,61.7
1992,66.4,61.5
1993,66.3,61.7
1994,66.6,62.5
1995,66.6,62.9
1996,66.8,63.2
1997,67.1,63.8
1998,67.1,64.1
1999,67.1,64.3
2000,67.1,64.4
2001,66.8,63.7
2002,66.6,62.7
2003,66.2,62.3
2004,66.0,62.3
2005,66.0,62.7
2006,66.2,63.1
2007,66.0,63
2008,66.0,62.2
2009,65.4,59.3
2010,64.7,58.5
2011,64.1,58.4
2012,63.7,58.6
2013,63.2,58.6
2014,62.9,59
