State,1988-90,1992-94,1996-98,2000-02,2002-2004,2004-06,2006-2008,2008-2010,2010-2012
United States,76,89,124,121,155,152,130,137,47
Alabama ,79,109,210,193,250,260,239,224,64
Alaska ,4,7,16,17,16,9,16,17,0
Arizona,65,84,139,150,151,152,114,122,44
Arkansas ,22,11,8,23,41,80,72,75,23
California,140,159,220,190,245,232,189,203,70
Colorado,169,223,314,342,421,397,356,359,120
Connecticut,134,193,206,119,167,136,111,142,56
Delaware ,50,73,118,109,89,124,125,114,51
District of Columbia,26,32,44,80,81,45,36,22,7
Florida,46,38,53,52,65,61,59,63,23
Georgia,19,22,35,41,50,50,46,53,17
Hawaii ,36,67,78,87,119,137,123,123,48
Idaho ,17,16,22,64,91,84,66,43,20
Illinois,27,27,33,37,43,44,45,57,21
Indiana,17,15,29,30,49,66,66,71,25
Iowa,16,8,10,31,46,34,33,37,13
Kansas ,8,17,35,43,52,51,39,29,8
Kentucky ,10,9,25,28,34,32,37,64,24
Louisiana ,11,11,14,19,20,26,21,22,10
Maine ,51,72,49,81,134,202,151,81,28
Maryland,214,228,292,310,429,395,295,356,130
Massachusetts,419,533,699,647,811,775,652,685,225
Michigan,30,46,85,62,93,117,119,129,51
Minnesota,58,59,102,93,116,103,104,107,31
Mississippi ,5,8,13,37,44,41,11,19,11
Missouri,16,15,23,27,37,46,38,45,21
Montana ,55,67,84,300,273,282,241,192,66
Nebraska ,15,28,18,38,46,55,30,45,16
Nevada ,40,35,35,54,86,61,26,30,19
New Hampshire ,189,269,381,343,454,411,423,429,138
New Jersey,60,82,100,97,121,113,92,115,45
New Mexico ,353,343,378,384,375,357,333,346,112
New York,41,54,66,61,89,88,78,95,29
North Carolina,30,40,58,56,73,91,92,108,34
North Dakota ,28,26,36,99,89,75,32,59,17
Ohio,44,60,113,131,164,181,159,159,61
Oklahoma ,24,18,31,39,63,65,50,46,13
Oregon,82,113,160,129,154,194,164,165,60
Pennsylvania,68,64,103,103,147,165,149,128,44
Rhode Island ,33,82,77,120,192,175,150,115,20
South Carolina ,3,1,14,44,57,46,30,47,19
South Dakota ,9,2,43,46,44,16,15,16,3
Tennessee,75,51,61,54,47,46,55,50,15
Texas,34,40,61,60,85,90,70,60,20
Utah,220,214,165,159,183,158,145,122,23
Vermont ,80,90,188,157,233,223,220,262,101
Virginia,152,178,292,266,320,285,266,275,89
Washington,91,91,135,131,190,178,148,128,37
West Virginia ,5,1,17,53,129,96,39,45,16
Wisconsin,17,33,54,65,88,98,108,120,48
Wyoming ,3,1,70,123,114,101,77,44,13
Puerto Rico,NA,NA,NA,NA,3,NA,0,NA,NA
