State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
United States,2.95,2.96,2.99,3.2,3.44,3.61,3.66,3.64,3.58,3.54,3.65,3.95,4.04,4.13,3.99
Alabama ,4.15,3.72,3.69,3.71,4.02,4.21,4.03,3.91,3.78,3.96,4.16,4.58,4.8,4.94,4.4
Alaska ,3.28,3.95,4.17,4.17,4.46,4.61,4.26,4.07,3.9,2.93,2.57,2.92,2.95,2.86,2.62
Arizona,2.92,2.91,2.88,2.94,3,3.27,3.24,3.24,3.11,3.02,3.18,3.56,3.65,3.72,3.7
Arkansas ,1.89,1.7,1.93,1.98,1.9,2.36,2.18,2.37,2.53,2.47,2.46,2.41,2.48,2.54,2.51
California,3.04,3.02,3.08,3.3,3.52,3.67,3.83,3.71,3.61,3.6,3.7,4.07,4.11,4.15,4.04
Colorado,3.44,3.27,3.17,3.17,3.46,3.62,3.83,3.8,3.56,3.6,3.66,4.31,4.43,4.69,4.56
Connecticut,2.83,2.81,2.87,2.97,3.19,3.42,3.46,3.41,3.3,3.13,3.33,3.47,3.91,4.09,4.03
Delaware ,2.04,2.02,1.92,1.83,2.02,2.21,2.27,2.13,2.17,2.11,2.3,2.22,2.58,2.77,2.68
District of Columbia,4.51,3.99,4.22,3.59,3.84,3.91,3.9,3.67,3.41,3.66,3.88,3.31,4.15,4.16,4.14
Florida,1.69,1.75,1.77,1.97,2.03,2.1,2.1,2.13,2.08,2.05,2.13,2.31,2.44,2.54,2.49
Georgia,3.16,3.03,3.15,3.24,3.43,3.62,3.56,3.51,3.42,3.48,3.76,3.97,3.89,3.93,3.94
Hawaii ,3.89,3.99,3.89,3.69,3.86,3.84,4.62,4.22,4.22,4.28,4.22,4.64,4.68,4.99,4.53
Idaho ,2.44,2.19,2.04,2.27,2.47,2.66,2.65,2.46,2.21,2.1,2.06,2.22,2.21,2.44,2.45
Illinois,2.41,2.45,2.47,2.63,2.9,3.11,3.14,3.12,3.04,2.98,3.12,3.38,3.34,3.38,3.27
Indiana,2.37,2.45,2.57,2.92,3.12,3.3,3.63,3.17,3.31,3.41,3.66,3.98,3.87,4.01,3.85
Iowa,4.28,4.3,4.48,4.67,4.93,4.77,4.6,4.57,4.62,4.38,3.94,4.18,4.99,4.83,4.56
Kansas ,2.75,2.9,3.01,3.01,3.27,3.21,3.33,3.33,3.17,3.12,3.25,3.62,3.64,3.64,3.45
Kentucky ,2.24,2.42,2.45,2.55,2.75,3.01,3.22,3.26,3.27,3.34,3.25,3.41,3.34,3.31,3.15
Louisiana ,2.93,3.02,3.12,3.14,3.43,3.3,3.26,2.94,2.67,2.91,3.09,3.28,2.89,2.81,2.69
Maine ,1.1,1.3,1.58,1.78,1.88,2.02,2.23,2.12,2.52,2.8,2.59,2.57,2.31,2.46,2.21
Maryland,8.22,8.05,5.85,8.41,9.17,9.42,9.78,9.53,9.74,9.35,9.77,10.61,10.45,11.03,10.44
Massachusetts,5.72,5.58,5.44,5.58,5.89,6.12,6.44,6.43,6.29,6.16,6.28,6.83,6.97,7.22,7.45
Michigan,2.9,2.85,2.99,3.28,3.51,3.83,3.82,3.88,3.92,3.91,4.32,4.99,5.19,5.27,5.22
Minnesota,2.24,2.17,2.21,2.42,2.5,2.44,2.36,2.35,2.47,2.51,2.67,2.94,2.99,3.1,2.85
Mississippi ,2.51,2.75,3.31,3.58,4.16,4.39,4.48,4.34,4.3,4.46,4.26,4.5,4.37,4.52,4.31
Missouri,2.94,3.19,3.39,3.66,3.67,4.04,4.04,4.13,4.02,4.04,3.98,4.24,3.95,3.94,4.09
Montana ,3.81,4.07,4.58,4.67,5.15,5.5,5.56,5.68,5.36,5.11,5.19,5.19,5.36,4.68,4.57
Nebraska ,3.59,3.81,3.64,4.05,4.35,4.53,4.67,4.97,4.69,4.44,4.42,4.56,3.88,4.09,4.21
Nevada ,1.31,1.3,1.4,1.47,1.53,1.73,1.63,1.56,1.57,1.44,1.45,1.48,1.37,1.24,1.12
New Hampshire ,3.03,3.14,3.42,4.41,4.71,5.17,5.4,5.35,5.62,5.31,5.16,5.06,4.88,5.42,6.15
New Jersey,1.55,1.59,1.62,1.67,1.83,1.92,1.96,2.01,1.89,1.83,1.82,1.94,2.12,2.21,2.09
New Mexico ,4.92,4.6,4.85,5.27,5.45,5.3,4.73,5.33,5.9,5.52,5.41,5.78,5.24,5.03,4.85
New York,2.81,2.84,2.98,3.06,3.36,3.65,3.76,3.76,3.69,3.69,3.69,3.86,4.21,4.37,4.28
North Carolina,3.7,3.81,3.69,3.9,4.23,4.49,4.42,4.67,4.52,4.75,4.86,5.23,5.68,5.78,5.74
North Dakota ,3.34,3.58,3.69,4.42,5.19,5.98,6.5,6.08,6.14,5.94,5.69,5.77,5.73,5.24,4.64
Ohio,2.31,2.29,2.41,2.6,2.8,3.1,3.08,3.45,3.62,3.78,3.92,4.2,4.22,4.31,3.96
Oklahoma ,2.59,2.81,2.77,2.63,2.86,2.82,2.52,2.42,2.26,2.13,2.17,2.37,2.59,2.32,2.57
Oregon,3.11,3.14,3.06,3.25,3.23,3.51,3.68,3.74,3.49,3.44,3.4,3.71,3.65,3.71,3.43
Pennsylvania,3.71,3.66,3.92,4.15,4.51,4.56,4.78,4.91,4.8,4.59,4.78,5.04,5.42,5.51,5.19
Rhode Island ,3.8,3.89,3.86,3.99,4.28,4.6,4.48,4.52,4.95,4.87,5.01,5.19,5.92,6.68,6.59
South Carolina ,2.41,2.43,2.55,3.01,3.22,3.34,3.38,3.44,3.51,3.61,3.62,3.87,3.8,3.44,3.2
South Dakota ,1.21,1.16,1.15,1.28,1.39,1.73,1.92,2.12,2.25,2.34,2.46,2.76,3.3,3.18,2.91
Tennessee,2.13,2.16,2.28,2.3,2.54,2.99,3.08,3.24,3.14,3.14,3.17,3.38,3.47,3.61,3.5
Texas,2.68,2.73,2.79,2.94,3.24,3.35,3.19,3.17,3.1,2.98,3.1,3.49,3.44,3.35,3.16
Utah,4.07,4.23,4.43,4.67,4.82,4.95,4.94,4.42,4.12,3.82,3.74,4.43,4.67,4.94,4.66
Vermont ,3.66,3.83,3.59,4.09,4.6,5.19,5.29,5.16,5.23,4.78,4.79,5.13,5.13,5.15,4.39
Virginia,2.2,2.07,2.12,2.18,2.38,2.52,2.58,2.55,2.53,2.49,2.65,2.69,2.68,2.79,2.88
Washington,2.72,2.67,2.83,3.07,3.31,3.53,3.48,3.23,3.29,3.02,3.17,3.26,3.81,4.21,3.66
West Virginia ,1.64,1.6,1.77,1.84,2.26,2.73,2.77,2.82,2.72,2.94,2.9,2.93,2.84,2.96,2.64
Wisconsin,3.34,3.52,3.73,3.97,4.24,4.43,4.58,4.57,4.55,4.51,4.73,5.07,5.02,5.29,5.09
Wyoming ,3.3,3,2.53,2.22,2.16,2.85,2.58,3.18,2.91,2.36,1.92,2.25,1.48,1.45,1.66
