Fips,State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,United States,40818,42079,43545,44745,44719,45097,45858,47037,48090,48909,49126,48401,46680,47287,47586,48160,48397,49110
1000,Alabama,31432,32276,33309,33676,33872,34679,35336,37142,37847,37871,37604,37185,35597,36237,36499,36750,37189,37643
2000,Alaska,63046,60012,59146,57831,59773,60618,59612,61151,61974,65154,67904,67333,70918,67761,68707,70804,66817,65946
4000,Arizona,34469,36265,38299,39229,39240,39369,40745,41150,42937,43998,44179,42133,38296,38299,38595,38895,38762,39129
5000,Arkansas,30510,30874,32202,32099,31925,32690,33836,35066,35657,36208,35935,35929,34669,35469,35947,35924,36539,36989
6000,California,41302,43316,45856,48621,47771,48402,49800,51408,53076,54491,54991,54796,51831,51821,52022,52724,53505,54196
8000,Colorado,43650,46168,48212,50565,50268,49830,49859,50255,51869,51758,51916,51795,50275,50135,50007,50254,50457,52167
9000,Connecticut,54770,56322,57404,60646,60852,60160,60834,64564,65428,67383,69745,66891,63612,63955,63311,63363,62989,63642
10000,Delaware,57358,59112,62693,63996,64358,61986,63846,66989,66937,67514,66014,61354,62973,62698,62903,61271,59767,60806
12000,Florida,35614,36633,37592,38408,38735,39462,40368,41623,43333,44038,43729,41579,38771,38396,37627,37790,38197,38664
13000,Georgia,41268,43089,44975,45516,45183,44718,44992,45411,46338,45903,45740,44241,42145,41735,41889,41904,42262,42959
15000,Hawaii,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800
16000,Idaho,28958,29656,31987,35016,33541,33864,34365,35312,36491,37389,37404,36969,34749,34845,34474,34102,34608,35081
17000,Illinois,45611,46719,47950,49275,48938,48950,49578,50673,51445,52682,53014,51695,50102,50323,51203,52018,51434,51968
18000,Indiana,37403,39436,40394,41307,40264,41039,42227,43495,43165,43645,44349,43719,40694,43004,42962,42903,43347,43694
19000,Iowa,37314,37480,38073,39839,39055,40127,41778,44866,45798,46047,47425,46066,45087,45837,46696,48319,48554,49099
20000,Kansas,37447,38387,39285,40134,40127,40582,41473,41610,42562,43785,45270,45340,43059,44054,45463,45101,44462,44974
21000,Kentucky,35389,36091,37041,35705,35723,36442,36954,37572,38305,38944,38190,37848,36115,37467,37986,38125,38371,38726
22000,Louisiana,40586,41694,42296,40833,41533,41977,43555,44879,47046,49131,46804,46328,46885,48519,46489,46850,45588,46084
23000,Maine,33007,33750,35114,36197,36557,37190,37777,38880,38791,39192,38816,38504,37804,38280,37860,37784,37405,37339
24000,Maryland,41942,43480,44793,45759,47021,48095,48935,50715,52181,52839,53306,53451,52901,53715,53940,53704,53176,53454
25000,Massachusetts,47227,48830,51026,54705,54943,55023,56339,57596,58590,59461,60789,60480,58590,60172,61127,61863,61191,62122
26000,Michigan,39320,40102,41963,42332,40987,42061,42775,42532,43088,42436,42043,39977,36882,38854,39715,40226,41169,41788
27000,Minnesota,42628,44441,45579,48053,47794,48570,50147,51432,52443,51853,51471,51429,49133,50550,51344,51615,52372,52970
28000,Mississippi,28372,28764,29325,29276,28957,29155,30216,30673,31048,31892,32226,32291,31173,31493,31227,31862,31642,31607
29000,Missouri,39752,40102,40920,41725,41266,41351,42092,42711,43037,43035,42785,42927,41949,42316,41674,41807,41963,42069
30000,Montana,30073,31084,31404,31884,32361,32872,33988,34906,35951,36530,37846,37365,35889,36728,37680,37767,38021,38435
31000,Nebraska,39471,39957,40645,42018,42502,43015,45403,45940,46668,47668,48072,48233,48042,49279,51099,50974,51664,52508
32000,Nevada,47632,47540,48827,48837,48021,47936,48508,51490,53847,53539,52395,49456,44375,43781,43891,43307,42883,43571
33000,New Hampshire,39221,41103,41446,43200,42906,43909,45409,46478,47417,47708,47529,46691,46074,47411,47797,48293,48099,49006
34000,New Jersey,49678,50243,51399,53281,53475,54317,55309,56097,56979,57840,57978,58014,55366,55610,54913,55978,55959,56498
35000,New Mexico,36358,35784,37638,38135,38387,38864,39674,41562,41147,41117,40610,40253,39697,39291,39117,39114,38971,39711
36000,New York,49027,49728,51818,53045,54402,54177,54161,55866,58421,60148,60290,58223,59205,61415,61188,62742,62130,63633
