State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
United States,216.4559993,NA,217.3024612,NA,219.657071,NA,219.5990303,NA,220.0259116,NA,220.674711
Alabama,207.0838476,NA,207.752033,NA,216.3889539,NA,216.2733559,NA,220.2734133,NA,218.5759534
Alaska,211.5471536,NA,211.0613186,NA,214.4769544,NA,211.1273683,NA,207.9236959,NA,209.3472882
Arizona,208.8728014,NA,207.1427366,NA,209.5206243,NA,209.9892695,NA,212.3950499,NA,213.1341315
Arkansas,213.6153045,NA,217.0715289,NA,217.0278177,NA,216.1515814,NA,216.514864,NA,218.5238853
California,205.6324371,NA,206.5120265,NA,208.522186,NA,209.7624054,NA,211.358636,NA,212.5459679
Colorado,223.660982,NA,223.65613,NA,223.7326529,NA,225.6966406,NA,223.4338436,NA,226.6632196
Connecticut,228.340615,NA,225.7530197,NA,227.2036492,NA,228.9721167,NA,227.4273043,NA,229.5815994
Delaware,223.9288114,NA,225.8384591,NA,225.0705423,NA,225.5130868,NA,225.1305111,NA,225.7716512
Florida,218.0144882,NA,219.4652222,NA,223.5349268,NA,225.6734073,NA,224.5285854,NA,227.4631766
Georgia,213.5972193,NA,214.4309205,NA,218.8881713,NA,217.8481057,NA,220.8107201,NA,221.8367125
Hawaii,208.2595675,NA,209.5787676,NA,213.496555,NA,210.6164187,NA,213.6145712,NA,214.8438799
Idaho,218.2598855,NA,221.8595114,NA,223.4040653,NA,221.0229244,NA,220.8297706,NA,219.302986
Illinois,216.304288,NA,216.48972,NA,219.3868114,NA,219.16578,NA,219.3574983,NA,218.5401839
Indiana,220.4064911,NA,218.0725333,NA,221.6730923,NA,222.6594808,NA,220.7313427,NA,225.3323408
Iowa,223.2711298,NA,220.8094002,NA,224.8947954,NA,221.4222981,NA,220.707447,NA,223.8158046
Kansas,220.1432297,NA,220.4687493,NA,224.6583622,NA,223.9242133,NA,223.5650912,NA,223.3863688
Kentucky,219.0444173,NA,219.9268179,NA,222.4323142,NA,225.6062424,NA,225.1350629,NA,224.4275405
Louisiana,204.7294875,NA,209.1656583,NA,207.4068055,NA,207.4861372,NA,210.4107263,NA,210.4549632
Maine,223.8594938,NA,224.5777722,NA,225.5440458,NA,223.790428,NA,222.0373322,NA,224.833289
Maryland,218.6737598,NA,220.0295858,NA,224.7812651,NA,226.0477839,NA,230.7828412,NA,232.0559731
Massachusetts,227.6042594,NA,231.2794393,NA,235.7534621,NA,233.7494631,NA,236.7738666,NA,232.373156
Michigan,218.7890567,NA,218.2606891,NA,220.1184528,NA,218.2355503,NA,218.8608104,NA,217.3651677
Minnesota,222.6089623,NA,225.2265781,NA,224.9170043,NA,223.3366618,NA,222.3086724,NA,227.0307418
Mississippi,205.4644068,NA,204.393607,NA,207.8095188,NA,210.5065175,NA,209.1880201,NA,208.5185365
Missouri,222.2602301,NA,221.1686228,NA,220.7768279,NA,223.8423578,NA,220.346171,NA,222.3341859
Montana,222.7465416,NA,224.5521798,NA,226.6665326,NA,224.6517501,NA,225.1442162,NA,222.9827493
Nebraska,220.6118021,NA,221.3774628,NA,222.9025543,NA,222.5233073,NA,223.311726,NA,223.2527851
Nevada,206.9596827,NA,207.1869744,NA,210.8190091,NA,211.140589,NA,212.5751917,NA,213.7553136
New Hampshire,227.7895085,NA,227.4383241,NA,229.0171734,NA,229.1445204,NA,230.3926764,NA,231.9983664
New Jersey,225.073328,NA,223.2983935,NA,230.646972,NA,229.3944864,NA,231.2376297,NA,228.7197441
New Mexico,203.1853126,NA,206.7916207,NA,211.6318846,NA,207.6457308,NA,208.0141194,NA,205.7564054
New York,222.1882071,NA,222.6952,NA,223.7520273,NA,224.3687488,NA,222.4938109,NA,223.8133626
North Carolina,221.2205797,NA,217.1344487,NA,217.9340426,NA,219.2960459,NA,221.3569636,NA,222.2277152
North Dakota,221.6422457,NA,224.8108467,NA,226.3254811,NA,225.9674719,NA,225.5775263,NA,224.083385
Ohio,221.8657991,NA,222.5332538,NA,225.6669878,NA,224.5321781,NA,223.8282139,NA,223.8877461
Oklahoma,213.5793571,NA,213.8614501,NA,216.955654,NA,217.1906276,NA,215.4775857,NA,216.9888765
Oregon,217.6145353,NA,216.8999802,NA,215.0173234,NA,218.1423405,NA,216.4401544,NA,219.1326742
Pennsylvania,218.6984275,NA,222.7719804,NA,226.3536582,NA,223.6794399,NA,227.2364632,NA,226.4023236
Rhode Island,216.4940152,NA,216.4398673,NA,218.7614449,NA,222.7048852,NA,222.4815969,NA,222.8022398
South Carolina,214.8077245,NA,213.2035072,NA,213.8365272,NA,215.9422982,NA,214.8998089,NA,213.6465439
South Dakota,222.2731786,NA,222.3986921,NA,223.3985267,NA,222.1665928,NA,219.8144463,NA,217.9307449
Tennessee,211.9475411,NA,214.2212693,NA,215.7492686,NA,216.7378111,NA,214.6402149,NA,219.7353947
Texas,214.8080056,NA,218.733824,NA,219.6043131,NA,218.8582724,NA,218.3208446,NA,216.9095971
Utah,219.2703384,NA,221.3109271,NA,221.2614281,NA,219.2041302,NA,220.4160345,NA,222.7676355
Vermont,226.1217466,NA,226.886251,NA,228.2485382,NA,228.7357836,NA,226.7716427,NA,227.9865191
Virginia,223.3403592,NA,225.8137107,NA,227.1367249,NA,226.527568,NA,226.3784347,NA,228.5557377
Washington,221.0966951,NA,223.4863979,NA,223.9993368,NA,221.3301104,NA,220.528788,NA,225.0488633
