Categories,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Science and engineering,1589,1665,1611,1600,1509,1471,1502,1465,1497,1373
Science,1427,1487,1417,1424,1351,1299,1340,1314,1337,1227
Agricultural sciences,25,24,23,41,47,56,62,70,68,56
Biological sciences,316,331,350,343,329,328,331,310,299,260
Communication,0,12,14,0,0,0,0,0,0,0
Computer sciences,27,23,25,31,25,21,56,59,55,64
"Earth, atmospheric, and ocean sciences",133,135,139,139,133,150,151,144,150,151
Family and consumer sciences/human science,0,0,0,0,0,0,0,0,0,0
Mathematical sciences,26,31,24,19,23,18,16,13,20,15
Multidisciplinary/interdisciplinary studies,19,21,21,21,24,26,0,0,0,0
Neurosciences,0,0,0,0,0,0,0,0,0,0
Physical sciences,125,109,102,103,109,101,105,102,100,91
Psychology,101,98,95,96,89,106,110,101,100,88
Social sciences,655,703,624,631,572,493,509,515,545,502
Engineering,162,178,194,176,158,172,162,151,160,146
Chemical engineering,0,0,0,0,0,0,0,0,0,0
Civil engineering,46,53,58,58,47,47,44,36,45,41
Electrical engineering,44,53,62,58,53,56,62,52,60,57
Industrial engineering,0,0,0,0,0,0,0,0,0,0
Mechanical engineering,43,38,43,32,27,35,32,30,28,23
Metallurgical and materials engineering,0,0,0,0,0,0,0,0,0,0
Other engineering,29,34,31,28,31,34,24,33,27,25
Health,258,282,135,152,131,96,76,123,137,122
