State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
United States,3.89,3.97,4.02,4.08,4.16,4.28,4.43,4.37,4.52,4.58
Alabama ,3.1,3.11,3.35,3.46,3.61,3.53,3.68,3.79,3.88,3.99
Alaska ,3.65,3.6,3.74,3.53,3.97,4.31,4.8,5.01,5.01,5.1
Arizona,4.05,4.02,3.96,3.81,3.87,3.87,4.15,4.35,4.85,4.84
Arkansas ,1.91,1.95,2.16,2.13,2.43,2.49,2.74,2.57,2.58,2.56
California,4.68,4.75,4.87,4.85,4.96,5.2,5.47,5.42,5.7,5.75
Colorado,5.92,5.93,5.86,6.06,6.15,6.38,6.63,6.64,6.64,6.69
Connecticut,4.99,5.05,5.09,4.78,4.77,4.73,4.8,4.69,4.76,4.84
Delaware ,4.3,4.34,4.31,5.08,5.2,5.25,5.38,5.26,5.56,5.78
District of Columbia,9.22,9.47,10.37,10.52,10.17,9.97,9.64,9.36,9.72,9.73
Florida,3.06,3.07,3.16,3.13,3.07,3.19,3.36,3.37,3.43,3.41
Georgia,3.82,3.68,3.52,3.41,3.37,3.62,NA,3.88,3.91,3.9
Hawaii ,2.89,2.85,2.99,3.16,3.07,3.07,3.24,3.41,3.48,3.56
Idaho ,3.93,3.82,4,NA,3.79,3.58,3.83,4.06,4.38,4.22
Illinois,3.69,3.83,3.84,3.82,3.82,3.8,3.88,3.57,3.67,3.9
Indiana,2.75,2.75,2.76,2.75,2.84,3.1,3.26,3.33,3.4,3.36
Iowa,2.64,2.74,2.79,2.97,3.05,3.07,3.2,3.07,3.38,3.46
Kansas ,4.02,3.97,3.92,3.68,3.71,3.95,4.17,3.75,3.94,3.86
Kentucky ,2.63,2.55,2.54,2.51,2.72,NA,2.93,2.84,3,2.94
Louisiana ,2.26,2.26,2.19,2.26,2.08,2.21,2.33,2.41,2.32,2.46
Maine ,2.54,2.53,2.6,2.67,2.66,2.81,3.04,3.03,3.04,3.08
Maryland,6.1,6.23,6.41,6.3,6.37,6.52,6.77,6.77,6.97,7.15
Massachusetts,5.9,5.95,6.14,6.27,6.41,6.72,6.87,6.67,6.99,7.16
Michigan,4.24,4.23,4.43,4.86,5.04,4.93,4.82,4.7,4.92,5.07
Minnesota,4.52,4.55,4.59,4.69,4.83,4.97,5.1,4.88,5.02,4.99
Mississippi ,2.04,2.1,2.12,2.24,2.26,2.4,2.36,2.22,2.18,2.19
Missouri,3.21,3.29,3.46,3.57,3.74,3.85,3.91,3.95,4.13,4.21
Montana ,2.9,2.79,2.88,3.05,3.04,NA,3.29,3.45,3.52,3.55
Nebraska ,3.49,3.58,3.52,3.61,3.44,3.43,3.47,3.43,3.74,3.8
Nevada ,2.06,2.08,2.05,2.14,2.09,2.14,2.34,2.41,2.55,2.4
New Hampshire ,3.86,3.94,4.32,4.41,4.5,4.59,4.93,4.84,4.82,4.72
New Jersey,4.16,4.23,4.45,4.46,4.68,4.97,5.08,4.92,4.83,4.78
New Mexico ,4.5,4.44,4.26,3.9,4.19,4.22,4.62,4.65,4.57,4.56
New York,3.31,3.29,3.47,3.66,3.79,3.78,3.72,NA,3.68,3.76
North Carolina,3.58,3.59,3.52,3.57,3.56,3.78,4.08,4.11,4.24,4.33
North Dakota ,2.68,2.6,2.76,2.79,2.82,2.7,2.81,3.11,3.25,3.25
Ohio,3.34,3.39,3.39,3.46,3.68,3.88,4.08,3.98,4.18,NA
Oklahoma ,3.13,NA,3.18,3.38,3.36,3.14,3,2.98,3.14,3.3
Oregon,3.98,3.97,3.88,3.91,4.04,4.11,4.29,NA,NA,4.71
Pennsylvania,3.38,3.54,3.67,3.82,3.87,3.98,NA,NA,NA,NA
Rhode Island ,3.93,4.09,3.77,3.74,3.79,3.78,3.95,4.06,4.31,4.45
South Carolina ,2.76,2.85,2.8,2.89,2.88,3.05,3.18,3.22,3.44,3.52
South Dakota ,2.51,2.54,2.53,2.65,2.97,3,2.94,2.88,3,3.01
Tennessee,2.44,2.44,2.47,2.47,2.59,2.64,2.63,2.8,2.98,3
Texas,3.95,4.12,4.13,4.19,4.39,4.46,4.57,4.47,4.55,4.67
Utah,4.37,3.99,4.1,4.32,4.26,4.27,4.32,4.43,4.4,4.56
Vermont ,3.92,3.97,4.29,4.27,4.24,4.1,4.35,4.41,4.5,4.38
Virginia,6.13,6.3,6.69,6.98,6.99,7.06,7.36,7.25,7.53,7.63
Washington,5.87,5.91,6.07,6.28,6.54,NA,7.06,6.91,7.23,NA
West Virginia ,2.38,2.32,2.3,2.41,2.32,2.37,2.32,2.48,2.61,2.8
Wisconsin,3.47,3.5,3.43,3.53,3.59,3.66,3.75,3.8,3.87,3.85
Wyoming ,2.55,2.74,2.92,2.91,2.97,3.12,3.16,3.06,3.1,3.13
