State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
United States,0.022,0.0225,0.0231,0.0224,0.0209,0.0207,0.0201,0.0205,0.0212,0.0219,0.0197,0.0192,0.0223,0.0225
Alabama,0.094,0.087,0.084,0.089,0.08,0.09,0.0102,0.0111,0.0137,0.0128,0.065,0.044,0.0101,0.0127
Alaska,0.02,0.044,0.023,0.031,0.022,0.015,0.013,0.01,0.014,0.016,0.013,0.013,0.019,0.02
Arizona,0.0148,0.0159,0.0154,0.0182,0.0207,0.0158,0.0147,0.0153,0.0166,0.0169,0.0144,0.0133,0.0189,0.0222
Arkansas,0.039,0.056,0.067,0.041,0.035,0.04,0.039,0.035,0.035,0.04,0.046,0.026,0.031,0.038
California,0.0331,0.0352,0.0385,0.0375,0.0343,0.0359,0.0335,0.0337,0.0364,0.0386,0.0323,0.0335,0.0399,0.0445
Colorado,0.0255,0.0238,0.0206,0.0192,0.0172,0.021,0.0227,0.0225,0.0229,0.0244,0.0153,0.0158,0.0176,0.0187
Connecticut,0.0255,0.0304,0.0277,0.0306,0.0398,0.037,0.0421,0.0442,0.0434,0.0472,0.0453,0.0465,0.0323,0.0367
Delaware,0.0415,0.0376,0.0395,0.0308,0.0307,0.0301,0.0229,0.0304,0.0282,0.0271,0.0275,0.0246,0.0377,0.036
District of Columbia,0.0183,0.075,0.052,0.058,0.044,0.05,0.036,0.031,0.048,0.062,0.024,0.032,0.035,0.059
Florida,0.089,0.088,0.089,0.084,0.079,0.062,0.064,0.068,0.063,0.068,0.046,0.047,0.081,0.092
Georgia,0.072,0.078,0.083,0.071,0.077,0.074,0.072,0.072,0.084,0.08,0.072,0.091,0.0106,0.0107
Hawaii,0.019,0.022,0.028,0.028,0.03,0.036,0.032,0.038,0.033,0.044,0.034,0.037,0.05,0.048
Idaho,0.0437,0.0442,0.0437,0.0284,0.0309,0.0222,0.018,0.0153,0.0144,0.0155,0.0166,0.0161,0.0234,0.0238
Illinois,0.0188,0.0199,0.0195,0.0187,0.017,0.018,0.0175,0.0189,0.0198,0.02,0.014,0.0149,0.0213,0.02
