State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
United States,0.8,0.79,0.796,0.82,0.818,0.801,0.777,0.798,0.819,0.821,0.808,0.799,0.792,0.793,0.793,0.793,0.794,0.796,0.799,0.815,0.797,0.789,0.771,0.777,0.774,0.783,0.772,0.754,0.772,0.773,0.799
Alabama,0.772,0.778,0.777,0.806,0.804,0.788,0.771,0.787,0.801,0.812,0.816,0.798,0.785,0.788,0.781,0.784,0.787,0.792,0.783,0.794,0.805,0.787,0.781,0.791,0.773,0.802,0.796,0.763,0.777,0.796,0.807
Alaska,0.767,0.77,0.754,0.738,0.714,0.685,0.732,0.659,0.814,0.817,0.811,0.774,0.776,0.759,0.765,0.773,0.765,0.785,0.748,0.793,0.763,0.758,0.736,0.733,0.713,0.754,0.752,0.732,0.771,0.75,0.781
Arizona,0.774,0.787,0.793,0.782,0.786,0.772,0.761,0.766,0.795,0.815,0.791,0.782,0.781,0.779,0.778,0.788,0.785,0.788,0.785,0.807,0.798,0.786,0.774,0.795,0.796,0.787,0.761,0.73,0.755,0.755,0.79
Arkansas,0.764,0.772,0.77,0.789,0.774,0.761,0.748,0.79,0.814,0.825,0.8,0.8,0.782,0.78,0.776,0.763,0.78,0.786,0.785,0.793,0.8,0.787,0.768,0.768,0.764,0.792,0.772,0.769,0.773,0.788,0.815
California,0.786,0.783,0.786,0.811,0.811,0.792,0.773,0.796,0.814,0.808,0.778,0.769,0.768,0.776,0.784,0.789,0.786,0.788,0.797,0.808,0.786,0.785,0.772,0.779,0.781,0.776,0.763,0.748,0.759,0.767,0.796
Colorado,0.792,0.768,0.772,0.774,0.778,0.759,0.751,0.775,0.81,0.825,0.809,0.794,0.786,0.789,0.775,0.779,0.784,0.786,0.79,0.808,0.769,0.775,0.761,0.765,0.763,0.773,0.757,0.734,0.753,0.752,0.784
Connecticut,0.833,0.832,0.829,0.846,0.852,0.834,0.798,0.802,0.808,0.815,0.814,0.817,0.802,0.822,0.817,0.812,0.808,0.816,0.821,0.833,0.8,0.807,0.793,0.768,0.777,0.795,0.79,0.766,0.792,0.794,0.812
Delaware,0.824,0.79,0.803,0.829,0.827,0.813,0.775,0.831,0.818,0.829,0.827,0.814,0.834,0.818,0.827,0.836,0.823,0.81,0.82,0.855,0.828,0.816,0.806,0.77,0.782,0.765,0.781,0.778,0.774,0.767,0.775
District of Columbia,0.824,0.824,0.766,0.906,0.861,0.83,0.786,0.827,0.842,0.822,0.853,0.808,0.825,0.811,0.822,0.807,0.833,0.812,0.83,0.848,0.839,0.833,0.828,0.834,0.824,0.829,0.809,0.803,0.819,0.818,0.829
