State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
United States,29565,30865,32747,34322,36377,35926,37107,38481,40086,40800,43115,43311,45034,46728,47240,48555,49343,50840,54164,57805,63439,62639,62851,61942,63593
Alabama,310,360,383,364,405,432,356,398,414,402,401,406,341,342,296,338,281,364,460,405,368,389,366,366,381
Alaska,7,3,1,.,4,4,5,13,14,7,.,.,.,.,.,.,3,3,3,5,50,55,61,55,51
Arizona,355,381,395,380,400,420,406,446,571,533,541,512,558,530,469,474,495,526,593,539,516,497,536,582,733
Arkansas,33,44,52,71,84,80,85,92,109,109,78,88,91,121,133,133,139,120,95,106,159,138,124,126,128
California,"5,382","5,309","5,556","5,824","6,270","6,495","6,649","7,004","7,131","7,228","6,905","6,947","7,286","7,380","7,288","7,512","7,554","7,958","8,731","9,272","9,659","9,418","9,653","9,474","10,478"
Colorado,500,559,587,690,757,833,840,893,881,846,"1,159","1,206","1,183","1,290","1,138","1,190","1,099",936,"1,027","1,064","1,321","1,344","1,447","1,470","1,502"
Connecticut,964,"1,005",969,975,"1,081","1,127","1,063",979,916,913,787,808,"1,308","1,272","1,270","1,259","1,217","1,208","1,283","1,423","1,520","1,567","1,528","1,458","1,438"
Delaware,58,66,72,76,85,69,81,105,129,134,138,131,134,125,141,113,120,118,117,129,126,132,139,151,181
Florida,594,549,545,600,543,543,592,653,698,665,646,867,939,"1,014","1,267","1,302","1,359","1,460","1,481","1,525","1,546","1,526","1,574","1,557","1,507"
Georgia,397,409,470,508,488,516,588,572,561,559,868,861,916,"1,037","1,073","1,245","1,230","1,273","1,301","1,338","1,384","1,520","1,488","1,440","1,427"
Hawaii,68,50,70,65,59,91,104,122,120,55,52,69,72,118,184,93,98,163,208,207,214,237,339,265,248
Idaho,44,36,30,47,49,44,46,37,36,32,26,34,41,71,50,33,44,61,53,58,69,77,79,67,69
Illinois,"1,179","1,213","1,218","1,093","1,176","1,245","1,139","1,191","1,204","1,255","1,296","1,352","1,301","1,333","1,496","1,499","1,460","1,646","2,131","2,360","2,355","2,381","2,336","2,300","2,272"
Indiana,567,586,614,653,616,602,598,699,728,722,760,739,746,764,736,819,840,868,805,862,843,848,826,812,926
Iowa,364,460,465,545,543,551,526,501,461,458,532,550,566,559,542,604,545,552,609,601,679,520,521,651,686
Kansas,218,202,272,287,305,268,277,262,262,268,256,296,320,340,327,317,351,307,329,359,324,403,442,409,409
Kentucky,153,211,223,227,235,236,204,211,272,271,331,326,303,377,432,387,486,395,377,422,454,428,461,310,254
Louisiana,225,295,292,274,330,290,273,270,243,252,290,271,316,380,409,261,311,328,379,412,469,406,415,411,373
