year2,state,fage4,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1977,01,a) 0,8822,9494,56774,28737,9295,195.8,0,0,56075,56075,0,195.1,195.1,0,0,0,0,0,56075,195.1,0,0,,,
1977,01,l) Left Censored,43548,53357,900657,905297,1340,2.4,8058,14.1,135467,33808,101659,3.7,15,144746,58893,85853,6.5,16,-9279,-1,30,0,5623,5641,36602
1977,02,a) 0,1570,1709,12495,6306,1678,196.4,0,0,12378,12378,0,196.3,196.3,0,0,0,0,0,12378,196.3,0,0,,,
1977,02,l) Left Censored,4910,6016,94678,101832,350,5.3,1564,23.5,25174,6881,18293,6.8,24.7,39481,13504,25977,13.3,38.8,-14307,-14.1,49.4,0,1035,1039,6757
1977,04,a) 0,7748,8419,51174,25948,8258,196.2,0,0,50452,50452,0,194.4,194.4,0,0,0,0,0,50452,194.4,0,0,,,
1977,04,l) Left Censored,28725,35690,553356,563435,1121,2.9,6229,16.2,96973,20193,76780,3.6,17.2,117132,45073,72059,8,20.8,-20159,-3.6,34.4,0,4333,4358,29117
1977,05,a) 0,6308,6616,31758,16121,6478,195.8,0,0,31274,31274,0,194,194,0,0,0,0,0,31274,194,0,0,,,
1977,05,l) Left Censored,29193,34088,519532,513795,813,2.2,5455,14.9,88454,13253,75201,2.6,17.2,76979,32531,44448,6.3,15,11475,2.2,30,0,3970,3994,19678
1977,06,a) 0,72183,79060,519520,263663,77668,196.5,0,0,511715,511715,0,194.1,194.1,0,0,0,0,0,511715,194.1,0,0,,,
1977,06,l) Left Censored,290710,359713,6294259,6221728,10520,2.7,60588,15.7,1227682,267453,960229,4.3,19.7,1082620,488440,594180,7.9,17.4,145062,2.3,34.8,0,39703,39942,276775
1977,08,a) 0,10666,11384,63114,31789,11243,197.5,0,0,62650,62650,0,197.1,197.1,0,0,0,0,0,62650,197.1,0,0,,,
1977,08,l) Left Censored,40977,48804,750952,754692,1631,3.1,8248,15.8,135579,30620,104959,4.1,18,143059,62313,80746,8.3,19,-7480,-1,36,0,5674,5695,37139
1977,09,a) 0,7483,8030,45800,22967,8022,199.8,0,0,45667,45667,0,198.8,198.8,0,0,0,0,0,45667,198.8,0,0,,,
1977,09,l) Left Censored,46391,53374,1057834,1036854,1131,2,6634,11.8,169176,24190,144986,2.3,16.3,127215,47273,79942,4.6,12.3,41961,4,24.6,0,4248,4263,24208
1977,10,a) 0,1580,1746,9769,4970,1695,194.2,0,0,9599,9599,0,193.1,193.1,0,0,0,0,0,9599,193.1,0,0,,,
1977,10,l) Left Censored,8337,9717,213353,215874,259,2.5,1250,12.2,25220,4661,20559,2.2,11.7,30261,9058,21203,4.2,14,-5041,-2.3,23.4,0,807,810,5417
1977,11,a) 0,1735,1897,14793,7479,1857,195.8,0,0,14629,14629,0,195.6,195.6,0,0,0,0,0,14629,195.6,0,0,,,
1977,11,l) Left Censored,11300,13153,282357,288885,405,2.9,1856,13.3,44810,13201,31609,4.6,15.5,57865,20615,37250,7.1,20,-13055,-4.5,31,0,1132,1136,9914
1977,12,a) 0,30847,33088,228639,116143,32459,196.2,0,0,224993,224993,0,193.7,193.7,0,0,0,0,0,224993,193.7,0,0,,,
1977,12,l) Left Censored,121120,149000,2189774,2200060,4359,2.7,27047,16.8,397829,95000,302829,4.3,18.1,418400,191990,226410,8.7,19,-20571,-0.9,36.2,0,19133,19237,120776
1977,13,a) 0,13866,14887,83397,42200,14608,196.3,0,0,82395,82395,0,195.2,195.2,0,0,0,0,0,82395,195.2,0,0,,,
1977,13,l) Left Censored,64584,81023,1409258,1410019,2965,3.4,13166,15.2,237530,64367,173163,4.6,16.8,239052,97339,141713,6.9,17,-1522,-0.2,33.6,0,8878,8912,56649
1977,15,a) 0,2494,2851,20045,10159,2794,196,0,0,19773,19773,0,194.6,194.6,0,0,0,0,0,19773,194.6,0,0,,,
1977,15,l) Left Censored,12290,15062,241060,243222,511,3.2,2150,13.5,35810,7817,27993,3.2,14.7,40134,19811,20323,8.1,16.5,-4324,-1.8,29.4,0,1422,1438,10556
1977,16,a) 0,3133,3309,16796,8478,3259,197,0,0,16637,16637,0,196.2,196.2,0,0,0,0,0,16637,196.2,0,0,,,
1977,16,l) Left Censored,12970,15479,242314,222931,470,2.8,2500,15.1,75475,7722,67753,3.5,33.9,36709,15378,21331,6.9,16.5,38766,17.4,33,0,1738,1749,9788
1977,17,a) 0,24561,26718,181710,91977,26203,196.1,0,0,179466,179466,0,195.1,195.1,0,0,0,0,0,179466,195.1,0,0,,,
